モバＰ(以下Ｐ表記),…うわ、雨降ってきやがった
まゆ,下着は大丈夫ですよぉ。まゆ、常に勝負下着常備してますから。それじゃあ、お風呂お借りしますねぇ…？
Ｐ,はいよ、ちゃんと返してな。えっと、今のうちに着替えの用意してやらないと…
まゆ,ひゃん！…は、はいっありがとうございますぅ！。まゆは気にしませんよぉ？。はぁい。ありがとうございますぅ
未央,あれ、今日ってプロデューサー休みなんだ？珍しいねぇ
卯月,久しぶりのオフだから家でのんびりするそうですよ
未央,いいなぁ～、レッスン終わったら遊び行っちゃう？あ、そう言えばしまむー、しぶりん見なかった？
卯月,凛ちゃんならロッカーの中で赤いリボンでグルグル巻きにされてましたよ
未央,ふーん、助けなかったんだー？
まゆ,お風呂いただきましたぁ
Ｐ,おー、丁度今ホットミルク淹れたところだぞ
まゆ,うふ…至れり尽くせりですねぇ
Ｐ,俺の寝巻きで大丈夫だったか？
まゆ,はい、全然問題ないですよぉ
Ｐ,そっか、臭いとか言われたらこの雨の中家出してたところだったよ
まゆ,全然匂いませんぉ？。Ｐさん、いつも服装や身だしなみには気を使ってるじゃないですかぁ。そんなに気にしなくてもいいと思いますよぉ？
Ｐ,この前凛にプロデューサー、匂うよ？。雨、ますます酷くなってきたなぁ…
まゆ,そうですねぇ…これじゃあ寮に帰れませんよねぇ
Ｐ,大丈夫だって。今洗濯してる服が乾いたら送っていくから
まゆ,え？…あ、でもそこまでしてもらうのは悪いですよぉ？
Ｐ,大した事じゃないって。トライドロンでひとっ走りだから気にすんな
まゆ,そ、そう、ですか…？じゃあ、お言葉に甘えますねぇ…？
Ｐ,あと１時間ぐらいで乾くから、適当にくつろいでてくれ
まゆ,は、はひっ
Ｐ(最初の頃この娘の事を,ヤンデレ？
まゆ,…そ、そうだＰさん。お腹空いてませんかぁ？
Ｐ,お、何か思いついたのか？確かに腹減ってるけど
まゆ,お、思いついてなんかないですにゃあ？お礼と言っては何ですけど、お昼ご飯作りますにゃあ
Ｐ,うん、ありがとう。でも一旦落ち着け。お前まであの娘のアイデンティティを取り上げて差し上げるな
まゆ,まゆはいたって落ち着いてますよぉ…？じゃあ、お台所お借りしますねぇ？
Ｐ,おーい、そこはクローゼットだぞー。どんなマジカルクッキングする気だ。台所はこっちだこっち。調味料とか好きに使っていいから。包丁の場所は…
まゆ,あ、まゆマイ包丁持ち歩いてますから大丈夫ですよぉ？
Ｐ,そっか、大丈夫かー。冷蔵庫の中見も好きに使っていいからなー。あ、但し歌舞伎揚げは勝手に食べると怒られるから勘弁してくれ
まゆ,はぁい。冷蔵庫の中、使わせてもらいますねぇ。…。…Ｐさぁん…
Ｐ,なんか、ごめんな？
まゆ,うぅ～…
Ｐ,えっと…、夕べの残り物でよければ、何か食べるか？
まゆ,…たべます
晴,あれ、今日ってプロデューサー休みなのかよ。何か珍しいな
梨沙,久しぶりのオフだから家でのんびりするんだって
晴,いいよなぁ～、仕事終わったら遊び行ってみっか。あぁ、そう言えばありす見なかったか？
梨沙,ありすなら倉庫の中で赤いリボンでグルグル巻きにされてたわよ。エビフライみたいだったわ
晴,へぇー、それそのまんまにしてきたのかぁ
Ｐ,カレーもそうだけど、翌日食べる煮込み系って格別だよなぁ…
まゆ,はい。この肉じゃが味が良く染み込んでて美味しいですよぉ？
Ｐ,白だしで煮るのがポイントだな。あと、野菜は煮る前に一度レンジで暖めると火が通りやすくなるんだ
まゆ,そうなんですねぇ
Ｐ,…心なしか元気が無いようだけど、不味かったらちゃんと言えよ？
まゆ,そんなっ、Ｐさんの手作りご飯が美味しくなかったらその世界線は間違ってますよぉ
Ｐ,あ、まゆが風呂入ってる間に柿剝いておいたんだが、後で食べるか？
まゆ,結婚してください。間違えました。頂きます
Ｐ,お、おう？。今ポットでお湯沸かしてるから。食後のお茶は何がいい？
まゆ,一生幸せにします。…言い間違えました。Ｐさんにお任せしますよぉ？
Ｐ,あ、はい。そうさせて頂きます
まゆ,ご馳走様でしたぁ…。美味しいからついつい沢山食べちゃいました、明日のレッスン頑張らないと…って、あれ…Ｐさん？
Ｐ,ん、呼んだか？
まゆ,ああっ、いつの間に洗い物を…それぐらいはまゆがやりますよぉ
Ｐ,いや、もう終わったし。満腹まゆがホケ～ッてしてたしさ
まゆ,うぅ…Ｐさん、女子力高いです…
Ｐ,それ、男に言うのは褒め言葉にならないんだからな？
まゆ,だってぇ…まゆ、さっきから何もやってないじゃないですかぁ…もてなされてばっかりですよぉ
Ｐ,そりゃ、まゆはお客様だからなぁ。さてと、そろそろ服乾いたかな？
まゆ,えっ？あっ、あっ…
Ｐ,おー、バッチリ乾いてる乾いてる。流石レノア。アッキーばりにフカフカに仕上がってるぞー。んじゃ、車の用意してくるから着替えておけよー
まゆ,ああ、あわあわあわあわわわわわわわわ。ど、どうしましょうどうしましょうどうしましょう！…ま、まずは落ち着いて、そう、まだ終わってない…終わらせません！
Ｐ,…まゆー。アカンわ、無理…。外もう雨っつーか嵐だわ
まゆ,お着替え置いておきますねぇ？。いえいえ。…うふふ、さっきと立場が逆になっちゃいましたねぇ。何か温かいもの用意しておきますねぇ？。そ、そういう表現をされると流石にまゆも照れちゃいますよぉ？
Ｐ,ふぃ～…サッパリした。しかし物凄い雨になっちゃったな…マンションの渡り廊下すらマトモに歩けないぞ
まゆ,そ、そうですか…大変でしたねぇ
Ｐ,お、コーヒーありがとな。…どした、まゆ？
まゆ,い、いえ、お気になさらず…。…こ、ごめんなさい…ちょっとお花摘みにいきますねぇ…？
Ｐ,え？ああ、どうぞどうぞ。雉撃ちでも蛮野撃ちでも厠でも。森久保ぉ！！。一向に止む気配が無いな…
まゆ,そうですねぇ…
Ｐ,どうする、モンハンでもやるか？
まゆ,まゆ、ゲーム機持ってきてないですよぉ
Ｐ,んじゃあウノでもやるか？
まゆ,Ｐさぁん…？。まゆ達、今２人きりなんですよぉ…？
Ｐ,せやな
まゆ,Ｐさんの服、大きくてまゆにはこんなにブカブカですよ？。…何もしないんですかぁ？
Ｐ,だからウノでもするかって…
まゆ,まゆに、何もしないんですかぁ？
Ｐ,…しません
まゆ,Ｐさんの理性はオリハルコン並ですよねぇ
Ｐ,埼玉県民の理性を甘く見るなよ？
まゆ,でも美嘉ちゃんなんて欲望の権化じゃないですかぁ？
Ｐ,訂正しよう。埼玉男子の理性を甘く見るなよ？
まゆ,むむむぅぅ～…。どうしたらＰさんはまゆに手を出してくれるんですかぁ！
Ｐ,とうとう言っちゃったよこのコ！。止む気配どころか更にパワーアップしてる気がするなぁ…
まゆ,お買い物した後で良かったですねぇ
Ｐ,本当だよ。ちょっと遅かったらこの豪雨に直撃してたんだよなぁ。あ、まゆコーヒーのおかわりいるか？
まゆ,大丈夫ですよぉ？
Ｐ,そっか。俺はもうちょい飲みたいから淹れてくるわ
まゆ,それぐらい、まゆがやりますよぉ
Ｐ,まゆは日ごろ仕事とレッスン頑張ってるんだし、のんびりしてな
まゆ,それを言ったらＰさんはまゆ達の何倍も…って、行っちゃいました…
輝子,フヒ…、きょ、今日ってプロデューサー休みなのか…？め、珍しいな
幸子,久しぶりのオフだから家でのんびりするそうですよ。全く、ボクが出勤してるのに休むなんて弛んでますよ！
輝子,お、オフか…羨ましいな…。フヒ、あ、後で遊びにいくか…？
幸子,それはそうとして、リボンでグルグル巻きにされて吊るされてるボクに関しては完全スルーなんですか？
まゆ,Ｐさぁん？毎日朝早くから夜遅くまでのお仕事でお疲れじゃないですかぁ？。よろしければ、まゆがプラン１２…もといマッサージしますよぉ？
Ｐ,プラン１２て……いやあ、別に大丈夫だぞ？
まゆ,遠慮なさらなくてもぉ…
Ｐ,いやいや、実際スタドリ飲んだらＨＰＭＰフル回復するし
まゆ,スタドリの原料って仙豆なんですかぁ！？。じゃ、じゃあこんな雨ですし、する事もないのでお昼寝でもしませんかぁ？まゆ膝枕しますよぉ？
Ｐ,おっ、それはプラン何なんだ？
まゆ,膝枕作戦はプラン２１…って、い、一体何の事ですかぁ？
Ｐ,まゆって口笛吹けないのな。…ま、いいか。膝枕ぐらい
まゆ,っ！！。い、いいんですかぁ？本当にいいんですかぁ？
Ｐ,うん、いいよ別にそれぐらいなら。うわぁ、ハイライトさんすっげぇお仕事してらっしゃる
まゆ,で、ではＰさん…お、お願いします
Ｐ,そんな畏まるような事かなぁ…
まゆ,さぁ、さぁ！Ｐさんの気が変わらないうちに！
Ｐ,まゆって肉食系だったんだなぁ…。んじゃあ、遠慮なく
まゆ,あふん
Ｐ,ん～…っぱりまゆは軽いなぁ。もうちょい食べないと駄目だぞ？
まゆ,ふわぁぁぁ…
Ｐ,こらこら小刻みに動くなって。むずかゆい、くすぐったい。太ももの上でモソモソされるの弱いんだよ
まゆ,ふわぁぁぁあああああああ…
Ｐ,よーしよし。まゆは髪綺麗だなぁ。植物物語か？
まゆ,ふわわぁぁぁぁああああ…。……って逆です！
Ｐ,うわぁビックリしたぁ！
まゆ,まゆがっ！Ｐさんにっ！膝枕っ！したいんですっ！
Ｐ,あ、そうでしたかスイマセン…。…じゃあやめるか？
まゆ,延長でお願いしますっ！
Ｐ,あ、はい
まゆ,～～～っ
Ｐ,だからそんな動くなって。くすぐったいんだよ
まゆ,Ｐさんっ
Ｐ,はい？
まゆ,頭撫で撫ではオプションですか？。もし有りなら手櫛するような感じでお願いします
Ｐ,は、はい
まゆ,～～っ！
Ｐ,寝たくなったら寝てもいいからなー。どうせこの雨じゃ送る事も出来ないし
まゆ,すぴぃ…
Ｐ,５分ぐらいでアッサリ寝たな…やっぱり疲れてたんだな…
まゆ,Ｐさぁん…
Ｐ,はいはい、Ｐさんここにいますよ
まゆ,ふにゃぁ…。Ｐしゃぁん…
Ｐ,爆睡じゃないですかー、くるみみたいな口調になってるぞー。…雨、全然止まないなぁ…。まあ、埼玉県民は紳士だから邪な考えは起こしませんけど
まゆ,にゅぅ…。Ｐさぁん…
Ｐ,はいはい、Ｐさんここにいますよーまゆに手ぇ捕まれてるから動けませんよー
まゆ,Ｐさぁん…Ｐさん…。Ｐさんは、何も悪くないんですよぉ……？
Ｐ,…
まゆ,…ふにゃぁ…。
Ｐ,おーい、いつまで泣いてるんだよ…
まゆ,まゆ一生の不覚です…Ｐさんの膝枕でこんなグッスリ眠ってしまうなんて…。至福の時を、まゆは一体何時間無駄に費やしてしまったんでしょう…
Ｐ,ざっと３時間ぐらいかな
まゆ,うわーん！まゆやりなおしますぅ！やりなおしたいですぅ！
Ｐ,勘弁してくださいそろそろ夕飯の支度したいんです
まゆ,うわぁぁぁん
Ｐ,もうこんな時間だよ……しょうがないから夕飯も食べていきな
まゆ,えぐっ…ぐすっ…
Ｐ,泣きながらバンザイしてるよこの娘。じゃ、早速用意するか…。えっと、冷蔵庫の中は今何が…。今日買ってきた野菜類に、歌舞伎揚げ、夕べの残りの惣菜、歌舞伎揚げに作り置きの浅漬け、あと歌舞伎揚げ…。納豆、ジャム、歌舞伎揚げ、牛乳にシグナルバイクに冷凍うどん……おっ、うどんがあるじゃないか。まゆー、夕飯うどんでいいかー？。へんじがない、ただのアイドルのようだ。勝手に作るからなー。ん？何だ何だ人の久しぶりのオフに…。いかん、うどん茹ってるから手が離せん…まゆー、ちょっと俺のケータイ取ってくれー。まーゆー、トリップしてないでケータイ取ってー！戻ってきてー！
まゆ,はぁいＰさん。…変わった着ボイスですねぇ
Ｐ,ありがとな。んで誰だ？オフに電話なんて…千川かな、それとも緑のカネゴンかな…？
まゆ,実質一択じゃないですかぁ
Ｐ,…あれ？。もしもし？…あれ、早く終わった？ああ、うん。いや家だけど。…もう駅？言えば迎えぐらい行っ…て、無理か、この雨じゃあ…。え…、雨だよ雨。凄いだろ…え？……あ、マジだ
まゆ,…？。
Ｐ,いつの間に…え？駅についたときには雨止んでた？流石だな…。うん、うん、今飯作ってるところ。夕飯食べてない？なら丁度良かった。うん、じゃ、後で。…雨、やんだな
まゆ,…ですねぇ
Ｐ,うどん、もうすぐ出来るからな？
まゆ,はぁい…
Ｐ,食べたら送っていくから
まゆ,…
Ｐ,まゆ？
まゆ,…。うわぁぁぁぁぁぁぁぁぁぁぁぁあああああんっ！！
Ｐ,何で号泣するの！？
芳乃,ただいまもどりましてー
Ｐ,おかえり。雨にあたらなくてよかったな
芳乃,全然大丈夫でしたのでー。そなたー、これお土産ですー
Ｐ,はいはい。…うん、歌舞伎揚げですね。もう戸棚いっぱいなんですけど
芳乃,冷蔵庫の中にでもー
Ｐ,そろそろ冷凍庫まで使わないといけなくなってきたんですけど？
まゆ,…お邪魔してますねぇ…？
芳乃,いらっしゃいませー、でしてー。まゆ殿はー、どうして泣いているのですー？…そなたー？
Ｐ,何もしてない何もしてない！埼玉県民ノータッチです！。ほら、うどん出来たから食べようか
芳乃,手を洗ってまいりますー
まゆ,うじゅぅぅ～…
Ｐ,ど、どうしたまゆ…うどんじゃ嫌だったか？
まゆ,違いますぅ…いいんです、もういいんです…どうせまゆなんて…。芳乃さんはいいですよねぇ……笑ってくださいよぉ…
Ｐ,はいはい、もうご飯だから、そんな隅っこで体育座りしてないでこっちにきなさい
まゆ,…はぁい。ご馳走様でしたぁ…
Ｐ,ご馳走しました。んじゃ送っていくよ。芳乃は家で待ってるか？
芳乃,お供いたしますー
まゆ,うぅ～…
Ｐ,どうしたんだよまゆ…さっきから
まゆ,なんでもないです…大丈夫です、元気いっぱいまゆまゆですよぉ？
芳乃,…むむぅ～…？
Ｐ,んじゃ車取って来るな。まゆ、準備して待っててくれ
まゆ,はぁい…。…。…仕方ないですね、残念ですけど今日は諦めます…。芳乃ちゃんも、お邪魔しましたねぇ…？。…って、芳乃ちゃんどうしたんです？そんな熊の威嚇みたいなポーズで……
芳乃,まゆ殿ー？
まゆ,はい？
芳乃,とくべつ、なのでしてー
まゆ,？
Ｐ,パねぇ！！
まゆ,Ｐさんっ！？
Ｐ,またいきなり降ってきやがった！しかもさっきより凄ぇ！ライドロンまで辿り着けねぇ！。こりゃもう無理だわ。まゆ、今日は泊まっていきな
まゆ,…っ！
芳乃,でしてー
Ｐ,チクショウ、またシャワー浴びないとだわ…
芳乃,タオルとお着替えをー、用意いたしますー
まゆ,…芳乃ちゃん？
芳乃,はいー？
まゆ,えっと、もしかして……
芳乃,どうかいたしましてー？
まゆ,……いいえ？何でもないですよぉ？
芳乃,あー、そなたー、そなたー。私も入りますのでー
まゆ,っ！？
芳乃,そなたー？もう入られてしまったのでー？では私もー
まゆ,させますかーーーっ！！
芳乃,うあー？まゆ殿ー動けませんー。離してくださいー
まゆ,離しませんー。何ですか一緒にって！そんな羨まけしからん事させませんよぉ！
芳乃,はーなーしーてーくーだーさーいー
まゆ,それならまゆも混ぜてくださいよぉ！
Ｐ,布団敷いたぞー
芳乃,川の字でしてー
Ｐ,ハハッ、なら芳乃が真ん中だな
芳乃,まゆ殿ー、鼻血と涎をお拭きになったほうがいいのでー
Ｐ,しかし雨も凄いけど風も凄いな…窓ガッタガタ言ってるやん
芳乃,窓がちゃんと閉まっているかー、見てきますー
Ｐ,おー、飛ばされるなよー？。さてと…、来客用の布団だから綺麗だから安心して使ってくれ
まゆ,い、いえいえそんな気を使ってもらわなくても…。まゆはＰさんのお布団でも大丈夫ですよぉ？
Ｐ,俺が大丈夫じゃないです
まゆ,もう、Ｐさんは本当にガードが堅いですよねぇ…
Ｐ,プロデューサーだからな
まゆ,…それだけじゃあ、ないですよねぇ？。まゆはＰさんの味方ですよぉ？
Ｐ,ありがとな。でもまゆって最近めっちゃポンコツだしなぁ
まゆ,ぽっ、ぽんっ…？
Ｐ,ポンコツというか何と言うか……へちょい？
まゆ,へちょい！？。へ、へちょいって何ですかぁ！？
Ｐ,ヘタレ、情けない、ヘボいって意味かな
まゆ,そ、そんなぁ…まゆは健気で控えめで人よりちょっと気が利くだけの普通の女の子ですよぉ？
Ｐ,うん、そういうのを自分で言っちゃうところとか、な。最初の頃はもうちょいシャキッとしてたと思うんだけどなぁ…何でだろ
まゆ,そ、そんなことないですよぉ…？
Ｐ,まあ、でも個人的には今みたいに爪が甘かったりちよっと抜けてるぐらいのまゆのほうが良いと思うけどな
まゆ,Ｐさぁん…。それ、プロポーズですよねぇ？
Ｐ,はいぃ？
まゆ,うぅ…冗談じゃないですかぁ…何もそんな杉下警部みたいな聞き返ししなくても…
Ｐ,おやおや
まゆ,もう、そうやってすぐにからかうんですから、Ｐさんは…
Ｐ,ンフフ、僕の悪い癖
まゆ,杉下警部から戻ってきてくださいよぉ！
Ｐ,最後にもう一つ
まゆ,右京さーん！。もうっ、もうっ！Ｐさんのバカ！酷いですっイジワルばっかり！
Ｐ,ごめんごめん。まあ、プロデューサーの愛情表現だと我慢してください
まゆ,あ、愛情…っ！……そ、そうですねぇ。Ｐさんの愛なのならばまゆは受け止めるのみですよぉ？
芳乃,そなたー、そなたー
Ｐ,ん、どした芳乃
芳乃,ベランダにー、落としものがー
Ｐ,えっ？ああ…こんな強風だからなぁ、どっかから何が飛んできててもおかしくないか
芳乃,はいー、飛んで来ましたー
乃々,うぅぅ…死ぬかと思ったんですけど…出会ったことも無い曾祖父母を垣間見たんですけど…
Ｐ,森久保ぉぉ！！
芳乃,乃々殿もへちょいのでしてー？
まゆ,え、続くんですか…？
