前回→咲,宮永咲のお先におやすみなさい
咲,ふっ……。いや、何となくね……。オッス？。札幌って北海道だよね？。私も無いかな！っていうか、北海道は桜が少し遅く咲くんだね。あ！私も！。同意見です……！！。それと、北海道といえばユキちゃんや爽さんの地元だね。え、良いの？。わぁ、楽しみ！！。果たして、行くことはできるのでしょうか！。えっと、最後のお便りです！。ラジオネーム"のーてん"さんからです。写真付きだ……どれどれ。うわっ、なにこれ！。名古屋飯って、ひつまぶしとか手羽先とかしか知らなかったや。えっ！？。そうだったんだ……ハーフみたいだね。プロ入りして愛知に行ったら、食べてみようと思います！ハーフパスタ！。という訳で！。やぁ……今日はいっぱいお便り呼んだなぁ。今日はちょっと予定が詰まってるので、最後の方押してしまいすみません！雑でしたかね。私達2人やゲストの人へのお便り、またはリスナーの皆さん自身の日常のお便りなどなど！。どんな内容でも構いませんので、是非送ってみてくださいね♪
咲憧,以上！お便りのコーナーでした！
咲,宮永咲の、役を作ろー！。このコーナーは、麻雀は心理戦！時には相手を騙す演技…すなわち"役"も必要！。という事で、私とゲストが与えられた役に応じて演技をする、というコーナーです。全くの同意見だよ……。こ、込めてないもん！。お願いしますっ、リスナーさんっ！！。ちなみに、台本は貰いますが書いてあるのはお題だけなので、内容はアドリブです。そ、そう？。それじゃあ私は……。私は憧ちゃんのお題の逆か……。っていうか、私憧ちゃんのお姉さんの事全然知らないんだけど！。また妹！？。うわぁ……私を演じるのか/////。えっ！？これアドリブなんだよね！？。今の話全部実話だったよ！？え、なにこれ！？。怖いよっ！！。お姉ちゃん何ペラペラ話してるの……っていうか、お化けの話事実と異なってるよ…
憧,あら、そうなの？
咲,うん。私は怖いから見ないって行って先に寝に行ったんだけど、その後お姉ちゃんが怖くなって私の部屋に来たんだよ。憧ちゃんっぽい妹かぁ……。では、行きますね。ｺﾎﾝ。……/////。巫女の妹と血の繋がってない兄……っていう設定と迷ったんだけど///。はれ？。た、楽しんでないですっ！/////。だから違うってー！/////。分かった！。という訳で憧ちゃん！。2日早いけど、お誕生日おめでとー！。えへへ、ビックリした？。私読んでるから、憧ちゃんは食べて良いよ。憧ちゃん、"え！？"が多すぎるよ……ふふっ…。ここで、番組からお知らせです！。私もお世話になっています、麻雀プロの小鍛治健夜さんとアナウンサーの福与恒子さんがパーソナリティを務める、"ふくよかすこやかインハイレディオ"。の公開収録が、5月19日の木曜日に開催されますっ。色んなゲストが来るそうなので、面白そうですよ♪。以上！。さてさて！そろそろお別れのお時間となりました。そして現在、ちょっとした憧ちゃんの誕生日会をしてますっ！。あと、これ！。うんっ♪私と和ちゃんからだよっ
憧,〜〜〜〜っっっっ！！
咲,あ！憧ちゃん泣いてる。あははっ！どう？……喜んでくれたかな。良かった。う、うるさいよっ/////。えへ、どういたしまして♪。では気持ちを入れ替えまして！ゲストとして来てみて、どうだった？。あはは……今日は特にね。おおっ？健夜さんを抜けば、初めての先輩ゲストだね。私は結構あるかな。という訳で次回ゲスト！３年前のインターハイ2回戦、とてつもない支配力を発揮していました……正直、今でもアレの破り方は分かりません。現在は、地元鹿児島のチームでプロとして活躍すると同時に、神社の巫女さんまでしています。岩戸霞さんです！
憧,わー！
咲,というか、まためちゃくちゃ大人っぽい人だ……。大人っぽい繋がりで攻めてきたね。という訳で、霞さんへのお便りもお待ちしています♪。お・ま・ち！しております！。ではでは皆さん、今週も頑張りましょうね♪。お相手は！サプライズ成功して本当に良かった！宮永咲と、ゲストの！。それでは皆さん！。この番組は、りゅーもんスタジオと。全国麻雀協会さん。親愛なるリスナーの皆さんの提供でお送りしました！
憧,和、途中あんま喋らないと思ってたら、ケーキとを用意してくれてたのね
咲,いや、その前に台本に無いことを追加するのをやめて欲しいよ。二日早いけどね。ほんと！！。泊まりにおいでよ！。そこ！余計なこと言わない！。そうなんだ……。そこ！余計な提案しないっ！。さてとっ、私たちも帰ろっか？。ん？。こちらこそっ！。憧ちゃんから大人分を吸収してやるんだから！。なにをー！！！。皆さんお久しぶりです。園城寺さんと玄さんのイベント見に来たんだ。そんなっ、お二人とも私なんかよりずっとトークが上手で色々勉強になりました！。ここまでは1人で来たんですけど偶然、洋榎さんと末原さんに会ったので終わりまで一緒に見てました。あはは…。どこにしましょう？。決まりですね。ポン。カン。ツモ、嶺上開花清一色ドラ280004000。終局ですね。あはは……今のは玄さんが鳴ける所を出してくれたので上手く躱せただけですよ。ちょっ、これ頼んだの誰ですか。その代わり、7個も入ってるので赤土さんが3つ食べてくださいね。んふっ……。玄さん、真っ先に一番大きいの取りましたよね。はい、水です。叩きますよ。時間経つの早いですね。はいっ、ありがとうございました！。行っちゃいましたね。はい。大丈夫です。もう既に4度ほど喰らってましたよ。いえ、こちらこそ。イベント後に時間取らせちゃって申し訳無かったです。楽しかったです、ありがとうございました。……ありがとうございます、玄さん。はいっ！。……さてっ……。……タクシー一台お願いします
