お化けギャルソン,怪談レストランへようこそ。私支配人のお化けギャルソンです。
アンコ,ん？
ショウ,どうかしたのかい？
アンコ,いやなんかパンパンって音が聞こえたような
レイコ,また？ユウマくんたちの仕業じゃないの
ユウマ,呼んだか？
アンコ,あ、あれぇ？
ショウ,アンコ、音はどこから聞こえてきたんだ？
アンコ,もう聞こえないし、すごく遠くからだったからわからないよ
ショウ,アンコあれからあの音は聞こえたか？
アンコ,ううん
ショウ,！
ユウマ,あれ、今日は驚かねぇな
タクマ,つまんねーの
アンコ,…
ショウ,どうしたんだい？
アンコ,なんか違うの。昨日聞いた音と少し違うの
レイコ,あらまたその話？
ショウ,うん。どうやら上履きの音と少し異なるようなんだ
レイコ,そんなのただの空耳に違いないわ
アンコ,！！また聞こえた。
ショウ,なんだって！？
アンコ,それに昨日より近いし…何この音
レイコ,アンコ…？
ショウ,大丈夫かアンコ、しっかりしろ！
アンコ,う…ううん。聞こえなくなった
ショウ,どんな音だったんだ
アンコ,わからない…わからないけどすごく嫌な音だった。…
ショウ,アンコ…大丈夫か
アンコ,あの後も聞こえてきてね…どんどん近づいてくるの
ショウ,家で調べてみたけど解決方法がわからないんだ
アンコ,追いつかれたらどうなるんだろう、嫌な予感がする
ショウ,レイコも朝から見かけないし大丈夫かな
ユウマ,タクマ肩パンやろうぜ！
タクマ,やだよ痛いもん
ユリ,何くだらないことやってんのよ
ユウマ,うるせーな！行くぞ
アンコ,！！キャアアアアアアアアア
ショウ,！
ユウマ,！？
ショウ,どうしたんだ！？聞こえたのか
アンコ,違う…違うんだけど。わかっちゃったの
ショウ,わかったって、なにが？
アンコ,あの音の正体が…
ショウ,…
アンコ,肉を…肉を叩く音なの…何度も何度も…
ユウマ,お…おいアンコ大丈夫か。俺もう昨日みたいなことやんねーぞ
アンコ,き…聞こえる…ち…近づいてくる！！
ショウ,アンコ！
アンコ,いやあああああああああああああ
ショウ,アンコ止まるんだ！
アンコ,くる…近づいてくる
ショウ,！！アンコそこは交差点だ、止まれ！
アンコ,！！
トラック,プワァー
レイコ,何やってるのよ危ないわね
ショウ,レイコ！
アンコ,れ…れいこ。ひっ、ち…近くに来ている
レイコ,！…アンコ、目を閉じて耳をふさいで！
アンコ,ど…どうして
レイコ,急いで！
アンコ,う…うん
ショウ,何をやっているんだ
レイコ,解決策よ
ショウ,この音は！
レイコ,通り過ぎるまで待つの
ショウ,通り過ぎたようだね
レイコ,アンコ、もう目を開けてもいいのよ
アンコ,ううう…
ショウ,耳をふさいでるから聞こえないんだよ
レイコ,大丈夫ったら！
アンコ,きゃあああああああああ…ってもうだいじょうぶ？
ショウ,それにしてもよく解決策を知ってたね
アンコ,レイコ…目にくまが…調べてくれたの？
レイコ,べ…別に、アンタがあんまりのも怯えているからよ
ショウ,へぇーそれで、朝いなかったのか。こ…これは
アンコ,ショウくん知ってるよ。これは妖怪のせいね！
ショウ,やめろぉ！
アンコ,今日も暑いね
ショウ,今年は記録的な猛暑らしいからね
アンコ,もう汗止まんないよ
レイコ,おはよう
アンコ,あ、レイコおはよう
ショウ,おはよう
アンコ,すんすん…あれ、レイコなにかいい匂いがする
レイコ,ちょ/////くっつかないでよ。汗をかくだろうと思って香水をつけてきただけよ/////
ショウ,これはローズマリーの香りだね。ローズマリーには魔除けの効果があって儀式でもよく使われるようなハーブなんだ
アンコ,へー
レイコ,わ…私はそんな理由でつけてきてないわよ！
ミチコ先生,今日はここまでです。最後に連絡事項があるのだけれどあの山のそばの古いマンションだけれど。取り壊しが決まったから近づいたりしないようにね
一同,はーい
ショウ,聞いたかいアンコ
アンコ,聞いたよ…行くって言うんでしょ
ショウ,あのマンションには悪魔が住むって言うんだ取り壊される前に行かなきゃもったいない
アンコ,言うと思ったよ
レイコ,やっぱり行くのね。悪魔が住むなんて馬鹿馬鹿しいけど、あのマンションは老朽化が進んでるし危ないから私も仕方なくついて行ってあげるわ
アンコ,ええー
レイコ,なんか言った？
アンコ,べ…別に
ショウ,素直じゃないなぁ
アンコ,ねぇやめようよ
レイコ,ちょっと//////くっつかないでよ/////
ショウ,噂だとマンションの中のエレベーターに乗り１０階まで行くそして一度降りる。扉が一度しまったらもう一度ボタンを押して中に入る。そのあとに１階のボタンを押す。そうすると６階の時に悪魔が現れるらしい
アンコ,なんで６階なのかな
ショウ,６は忌数で悪魔の数字なんだ。まあ正確には６６６なんだけどね
レイコ,なんか嘘くさいわね
ショウ,まあ入ってみようよ。まずは１０階に行こうか
アンコ,そもそもエレベーター動くのかな
エレベーター,ウィーン
アンコ,開いた…
レイコ,…ゴク
ショウ,よし行こう
エレベーター,ウィーン
アンコ,つ…着いたわね
ショウ,ここで一度降りてもう一度乗り１階を押せば
レイコ,馬鹿馬鹿しいわ、これなら住んでる人が使えないじゃないの
アンコ,もう誰も住んでないよ
レイコ,…
ショウ,…
レイコ,…
アンコ,…ゴクリ
レイコ,な…なによ６階すぎても何もないじゃな…
アンコ,う…うそ、エレベーターが６階に戻された！？
ショウ,扉の向こうから何か来るぞ！
レイコ,な…なによあれ！
アンコ,扉が開かない！？
ショウ,あれがこのマンションに棲む悪魔の正体か！？
アンコ,と…扉の前まできちゃったよ
エレベーター,ガガガガ
レイコ,なんで今開くのよ！
ショウ,まずいぞこんな密室じゃどこにも逃げられないぞ！
アンコ,ショ…ショウくんどうしよう
ショウ,二人共何か持っていないか！？…魔除けの十字架とか
レイコ,そんなもの持ち歩いてるわけ無いでしょ！
エレベーター,ガガ…ガガガ
アンコ,まずいよ、もうエレベーター開ききっちゃうよ
ショウ,！！レイコ香水を持っているか！
レイコ,も…持ってるけど
アンコ,そうか、ローズマリーの香水だから魔除けが！
ショウ,早くそれを！
レイコ,これをどうするのよ
アンコ,怯んでる！？
ショウ,今のうちに扉を閉めるんだ
エレベーター,ガガガガ
ショウ,よし、このまま１０階にいくぞ
エレベーター,ウィーン
アンコ,た…たすかったー
ショウ,どうやら１０階でこのエレベーターに乗った時からすでに引き込まれていたのかもしれないな
レイコ,香水…高かったのになぁ
ショウ,わざわざ叩き割らなくてもふりかけるだけで良かったのに
レイコ,お…落としたのよ！
アンコ,でもおかげで助かったね
ショウ,さて帰ろうか
レイコ,そうね、もう日も暮れるし
アンコ,あのさ、帰りはやっぱりエレベーター使えないんだよね
ショウ,またあれに遭遇したいのかい
アンコ,やっぱりね…１０階から階段でかぁ
エレベーター,ズズズズズズズズズズズズ
ギャルソン,怪談レストラン、本日の特別メニューはいかがでしたでしょうか。ご満足いただけたでしょうか？。ご満足いただけない？でしたらご自身に背筋の凍るような出来事を祈りましょう。少しは涼しくなるかもしれませんよ。しかしお気をつけください。未知なるものとの出会いはいつ来るかわからないのですからね。まあその前に当店でご用意したデザートをお召し上がりください。琉球の島に伝わるキジムナーと呼ばれる妖怪のお話です
アンコ,これはね琉球の島に伝わる話なんだけどね。最後のキジムナーはどっちのキジムナーだったんだろうね
