夢見りあむ,というわけで、これといって取り柄もないぼくが、総選挙3位だなんてめっちゃやむ！
りあむ,え？うわぁ……加蓮ちゃんにネイルをしてもらえるの？
加蓮,……言質は取ったよ
奈緒,はいはい
りあむ,え？……あ…やっぱ！
加蓮,そーれ
りあむ,ひゃははははははははははっ！やめっ！やめてぇ！！。やむ……ヒドイ目にあったよぉ……
愛海,じゃあ、次は142'sのレッスンにご招待～
りあむ,え゛……幸子ちゃんに小梅ちゃんに輝子ちゃん？
幸子,さぁ、高度2万メートルから落下傘で降下するレッスンですよ！。落ちていく間に、どれだけカワイイ顔ができるかがポイントですからねぇ！
りあむ,とか
小梅,えへへへ。ここは本当に霊障がひどいから、芳乃ちゃんやこずえちゃんぐらいしか来れなかったんだ……。あ、さっそくいっぱい来たよ。ほら……もう爪先から動けなくなったよ…ね。そのまま……ダンスのレッスンを…始めるから……楽しみだね
りあむ,とか
輝子,ふひひ……このキノコを手にしてどれだけ声を出せられるか……。手に取ったら最後……痺れに血液硬化に心臓停止が待ってるぜ……。ひひ……ひぃ……ひゃっはー！！
りあむ,ってこと！？
愛海,当たらずとも遠からずだろうなぁ……
りあむ,や……む…………
愛海,あはは……さすがにボロボロだよねぇ。あ、もしもし。プロデューサー？うん、うん。頑張ってるよ。幸子ちゃんとかと一緒に行動できるぐらいにね。うん、やっぱりプロデューサーやトレーナーさん達の指導より、アイドルからの叱咤激励がりあむさんには有効みたいだね。本当に好きなんだね……え？お前ならわかる？……まぁ…ね。うん、うん。頑張ってるなら最後にご褒美を？……なんだかんだでプロデューサーも甘いねぇ。じゃあ、最後にお仕事だよ
りあむ,も、もう少し休ませて……む、むーりー
愛海,乃々ちゃんの真似ならむーりぃだからね。じゃあ有無を言わさずに連れて行くから
りあむ,す――ーこ――ーれ――ーよ――ー！。あ、あの……。なんで……ステージの衣裳を？
あかり,ミニライブがあるからんご！
りあむ,あかりちゃん？
あきら,#主役が出番を知らない？
りあむ,うぅ……やんでいる間に連れてこられたから……
凪,いまから、ちやほやしますから、いつでも凪を残して一人で散華できる準備を
りあむ,なんで！？ぼく、ライブが終わったら解雇されちゃうの？！
颯,そんなことに気後れしちゃダメ。アイドルという憧れの存在が、自分自身になっただけだよ
りあむ,あ……アイドル……
ちとせ,そうそう、短い人生。エンジョイしなくちゃつまらないよ
千夜,まぁ、どう転んでも炎上しそうですがね
りあむ,やっぱ、やむ！！。むにゃ……。…………。……はっ。……夢？
モバP,以下P
りあむ,うぅ……もっとやさしくしてよ。オジャ魔女ど○みの歌詞みたいにやわらかいマシュマロみたいにさぁ
P,……。もしもし、マストレさん？りあむのヤツがスペシャルでグレードなメニューを希望だそうですよ
りあむ,うわーん！しんでやるー！いや、しにたくないよ！！
P,どっちだよ……とりあえず俺の為には生きてくれ
りあむ,え……それって(///)
P,会社の売上的にだよ！
りあむ,ひどい！！
愛海,……結局、プロデューサーもなんだかんだでへたれだよね
千枝,あ、あつ……んうッ！……だめェ……
桃華,まぁ、一段落しましたし、お茶受けにどうぞ
ありす,これは……銀座の一流店の超高級スイーツじゃないですか！
桃華,櫻井家にとっては造作もありませんわ
りあむ,わー、何々？おかしー？
P,今からレッスンで大丈夫か？
桃華,よろしかったら、お一つどうぞ
りあむ,わー、うちでよく食べてたんだ。これ
ありす,っ！？
P,あ、こいつん家も意外に金持ちだったな
千枝,そうだったんですか……
りあむ,よーし、おたく達にすこられる為にがんばるぞー！
みんな,まってちがう
