春日未来,以下、未来
未来,知りませんっ。ぷ、プロデューサーさんは大人の女の人の方が良いんですよねっ
P,そ、そんな事ないぞ？
未来,うそばーっかり！知ってるんですからね！
P,……ど、どうしてもダメか？
未来,ふーんだ、もう許してあげませ……？。プロデューサーさん、これなんですか？
P,バレたか……袋の方開けてごらん
未来,はい！。……新しい、髪留め？
P,ああ、誕生日プレゼントだよ。未来に似合う可愛いの、俺なりに選んだつもりなんだけど……
未来,……あ、ありがとうございます。それじゃ、早速……
P,あれ、今付けるのか？
未来,ダメですか？
P,帰ったら風呂入って外しちゃうだろ？。折角だし、明日付けてみたらどうだ？
未来,うー……分かりました
P,そんなに付けたかったのか？
未来,はい！だって、プロデューサーさんが選んでくれたんですよね！？
P,……そんな期待されても困るんだけどな
未来,えへへ……♪。あれ？それじゃ、こっちの箱は……。な、生クリームの匂いがします！
P,ああ、誕生日ケーキだよ。家に届ける時に渡そうと思ってたんだけどな。どうせ泊まるんだし、ご飯の後食べようか
未来,はい、楽しみにしてます！
P,よし、それじゃもう少しかかるから待っててくれよ
未来,はい、分かりました！
P,…………
未来,…………。……今なら、バレないよね？。……プロデューサーさん、大好きです
P,おぅ、俺も好きだぞー
未来,そうですかー？でっへへ、両想い……！？。きっ、聞こえてたんですか！？
P,そりゃ、ラジオもニュースもかけてない車内なんだから聞こえるだろ
未来,え、えとその……忘れてくだ――
P,はいはい、忘れ――
未来,だ、ダメです！やっぱり忘れちゃダメです！
P,なんだ、忘れちゃダメなのか？
未来,ダメに決まってるじゃないですか！。良いですか……もう一回言いますよ。春日未来は……ぷっ、プロデューサーさんの事が大好きです！
P,おぅ、俺も好きだぞー
未来,本気だと思ってないじゃないですかぁ！。今日のハンバーグ、とーっても美味しかったです！
P,そうか、それなら作った甲斐があったよ
未来,むぅ……なんか負けた気分です
P,一人暮らし長かったからなー
未来,……こ、今度は私が作りますね！
P,はは、それじゃ楽しみに待ってるよ。……さて、ケーキ食べるか
未来,わぁ……！
P,俺達二人で食べきれるかなー……っと。よし、蝋燭立てた。電気消すぞー
未来,…………
P,……それでは
未来,…………！。一回で全部消えました！
P,良かった良かった……。……俺ももうちょっと歌練習しないとなぁ
未来,今度、プロデューサーさんの誕生日には私が歌ってあげますね！
P,それは楽しみだな……。未来、どのくらい食べる？
未来,イチゴ３つ分とりあえずください！
P,分かった……はい
未来,でっへへ……
P,……結構量多くないか？
未来,大丈夫ですよ、ちゃーんと考えてますから！
P,そうか、それなら良か……
未来,はいっ、あーん♪
P,……自分の誕生日ケーキなのに、俺に食べさせてて良いのか？
未来,私は、プロデューサーさんに食べて欲しいんです！
P,それじゃ……はむっ
未来,お、美味しいですか？
P,うん、美味いよ
未来,……それじゃ、次はプロデューサーさんの番ですよ！
P,えっ、俺もやるのか？
未来,誕生日なんだから良いじゃないですか！
P,そうだな……よし
未来,あー……むっ。おいひいでふ……♪
P,それなら良かった……
未来,んく……それじゃ、もう一回
P,一回一回やってたら時間かかるぞ？
未来,良いんですよ、時間がかかっても！。ぜーったい！恋人にしたいって言わせてみせますからね！
