モバP(以下P),ん、わかった。じゃあそういうことで
晴,ん？おう、いただきます。ん、授業で作った時はもう少しうまかったんだけどな、これはあんまりおいしくないな
P,そんなことないさ、うん。おいしい
晴,兄貴、無理しなくていいんだぜ？
P,いや、晴が折角作ってくれたんだ。おいしくないわけないだろ？
晴,……そっか
P,ごちそうさまでした
晴,……ごちそうさまでした
P,どうした？晴、疲れたか？
晴,いや、それもあるんだけどさ……
P,なんだよ
晴,オレ、思い返せば最初は兄貴に楽させようと思ってたのに、結局兄貴に頼りきっちゃったなぁって
P,……そうか
晴,ごめんな……
P,……
晴,……兄貴？
P,……っだー！くそ！こいつ可愛すぎる！
晴,え？
P,来い
晴,え……おう
P,あのなー、晴はオレに面倒かけたと思ってるかもしれないが、オレはそんなこと砂つぶほども思ってないんだぞ？
晴,え、なんでだよ
P,オレは晴と一緒に料理できて楽しかったからな、些細な面倒なんぞ相殺してプラスになってるよ
晴,……そっか
P,そうだ。……晴は楽しくなかったか？
晴,楽しかった。……また兄貴と料理したい
P,おう、良かった。……今の言葉だけで今日と昨日と明日の疲れが吹っ飛んだよ
晴,！。ぅ……明日はこれからだろ。この……ばかあにき
P,ほら、晴。はやいこと宿題終わらせちまえ。どんどん面倒になるぞ
晴,んなこと言ったってよー、こう暑くちゃ宿題なんてやる気おきねーよ
P,じゃあ、ちょっと季節はやいけどクーラーつけるか
晴,いいのか！？
P,内緒な。ちゃんと消せば平気だ
晴,涼しい……
P,ほら、ここなら風がよく当たるぞ
晴,なんで膝に乗せるんだよ、暑いだろ？
P,風も当たるし平気だろ。それに、お前が勉強できる椅子がないからな
晴,でも兄貴も仕事しなきゃだろ？
P,ばっか、晴一人乗せたくらいではオレの仕事効率は落ちーん。ほら、ここにスペースやるからここでやれ
晴,わかったよ……でも、誰か来たらやめるからな
P,はいはい、頑張れ
晴,
P,ん、ひと段落。晴も寝ちまったし、ちょっと休憩するかな……
ちひろ,戻りましたー、あ、涼しい
P,あ、ちひろさん、お疲れ様です。暑いのでつけちゃいました
ちひろ,後始末はちゃんとお願いしますね。……あら、晴ちゃん？あ、寝てる……
P,ここで勉強させてたら寝てしまいましてね
ちひろ,そうですか。相変わらず仲がいいですね
P,仲はいいですね
ちひろ,仲が良すぎる気はしますが。まぁ業務に影響がないならなんでもいいですよ
P,むしろはかどってます
晴,んん……
ちひろ,あー、晴ちゃん背中にびっしょり汗かいちゃってるじゃないですか……ずっと膝に乗っけたりするからですよ？
P,あ、ほんとですね。悪いことしたな……汗疹にならなきゃいいけど
ちひろ,どうしたんですか？
P,いや、タオルで拭いてあげようと思いまして……っと、あった
ちひろ,あ、なるほど
P,ごめんよ晴、今拭いてやるからな
ちひろ,え？
P,どうしたんですか？
ちひろ,い……え？
晴,ん、んー？
ちひろ,あ、おきた
晴,あれ……？兄貴……何してんだ？
P,汗かいてたからな。拭いてるんだ
晴,そっか……なら……ってあれ？……ちひろさん？
ちひろ,おはよう、晴ちゃん
晴,ちひろさ…………っ！！。兄貴！やめろ！ちひろさん！ちひろさん見てるって！
P,こら、晴。事務所ではプロデューサーって呼べって言ってるだろ？
晴,今そんなことどうでもいいだろ！服！やめろ！
P,暴れんなって……よし、終わり
晴,このバカ兄貴！ふざけんな！
ちひろ,えーと、晴ちゃん、私気にしないから大丈夫よ
晴,大丈夫な顔してないだろ！あーもう……オレ帰る！
P,行っちゃいましたね、宿題持って帰ればよかったのに
ちひろ,宿題やってたんですね……ちゃんと全部終わってるじゃないですか。……あれ？でも、寝落ちしたんじゃ……
P,さて、仕事再開しましょう
ちひろ,……そうですね。やりますか
P,今日も暑いな……
晴,兄貴がひ弱になっただけじゃねーの？オレは全然平気だぜ
P,こないだはブーブー言ってたくせに……デスク作業ばっかりしてるうちに体が弱ったかな。ちひろさん、クーラーつけましょうよ
ちひろ,ダメです。この間クーラー消し忘れて一晩中垂れ流しにしたのはどこのプロデューサーさんでしたっけ？
P,そうでした……
晴,そんなことで大丈夫かー？プロデューサーさん？
P,んな生意気なことを言うのはこの口かーー！
晴,ひゃめろっふぇ！
ちひろ,陽を浴びてなくて体が弱ったなら、今度の休暇にでもどこか遊びに行ったらどうですか？
P,あー、いいですねぇ。……でも、オレの休みと晴の休みがかぶるのは相当後になりそうなので無理かと
晴,えー、サッカーしに行こうぜ～
P,無理なもんは無理だ
ちひろ,んー、わかりました！ここはひとつ、私が1日だけプロデューサーさんの代わりになってあげましょう！
P,え？いいんですか？
ちひろ,内緒ですよ♪いつか返してくださいね
P,ありがとうございます！よし、晴、この日にするから、どこ行きたいか、あとメンバーとか決めといてくれ
晴,わかった！。絶好のサッカー日和だな！
P,えーと、今日くるメンバーは……梨沙に紗南か。梨沙はいつも仲良しだからともかく、紗南はよく誘えたな
晴,ゲームしてたからたまには外で遊ぼうって話になった
ちひろ,別に構いませんが、何故事務所を集合場所に？
P,まぁみんな迷いようがない場所ですし、あとはオレ今日はここで仕事することになってますからね
ちひろ,できるだけ静かにしてくださいね……
梨沙,おはよー、晴、ここでよかったわよね？
晴,はよ、梨沙。ここであってるぜ。あとは紗南だな
P,おはよう、梨沙。今日はよろしくな
梨沙,よろしくね、P。アンタが保護者なら一応は安心だわ
P,そりゃ光栄だが、どうしてだ？
梨沙,アンタはロリコンだけど、晴にしか興味なさそうだし
晴,え
P,そりゃ誤解ってやつだ
梨沙,どこが誤解だっての？
P,そりゃオレは晴のためならなんでもできるが別にロリコンな訳ではないし晴にしか興味がないわけじゃないさ
梨沙,ほんとかしら？
晴,おい！朝っぱらから変な話すんなよ！
梨沙,あら、晴。どうしたの？顔、赤いんじゃない？
晴,んなことねーよ！
梨沙,恥ずかしがることないわよ。アタシもパパ大好きだし！
P,そうだぞ、なにを恥ずかしがる必要がある？家じゃあ
晴,だぁー！家の話はやめろ！
紗南,朝から騒がしいね。おはよっ
晴,紗南！助けてくれ！兄貴と梨沙がいじめてくるんだ！
紗南,おっと。おはよ、晴ちゃん。二人がどうしたの？
晴,オレに恥ずかしいこと言ってくるんだ
P,おはよう、紗南。ちょっと晴を攻略してただけさ
梨沙,そうそう！だからあんたの後ろにいる晴を受け渡しなさい
紗南,なるほどね。……攻略と聞いちゃ黙ってられないけど……
晴,！
紗南,この顔を見て敵対できるもんじゃないよ。この話は一旦やめにして、揃ったんだし出発しよ？
P,お、もうこんな時間か。そうだな、そろそろ出発しよう。車を用意してるからガレージまで行くぞ
晴,ほ……
梨沙,晴、ホッとしてるけど一旦やめただけよ？
晴,う……
紗南,梨沙ちゃんもそんなにいじめちゃダメだよ。こういうのはやりすぎるとゲームオーバーになっちゃうしね！
梨沙,それもそうね
P,ほら、晴行くぞ！
晴,くそー！二人とも覚えてろよ！体力続く限りサッカーに付き合わせてやる！
紗南,あたしも巻き込まれることになりそう……お手柔らかにね
P,しゅっぱーつ
3人,おー！
晴,着いたーー！
梨沙,へぇ、なかなか広いわね
紗南,こんな広い原っぱがあるんだね。人いっぱいだけど
晴,なんか総合運動公園って言うらしい。詳しくは知らねーけど
P,ここならたいていのスポーツができるスペースはあるみたいだな。野球場、サッカー場、テニスコート、その他諸々。今回の目当てはサッカー場だな
梨沙,じゃあこの原っぱはなんなのよ？結構沢山人がいるけど
P,ここはフリースペースだな。ピクニックみたいにご飯を食べるのもよし、他の人に迷惑をかけない程度ならボール遊びしたりしてもよし、走り回ってもいいぞ
晴,ま、それはまた今度でいいだろ！今日はサッカーしようぜ！
紗南,はいはい。晴ちゃんもこの調子だし、早速いこっか
P,2vs2の組み合わせ決めようぜ
梨沙,すくなくともアンタと晴の組み合わせはなしね。敵うわけないんだから
晴,まぁ、そうだよな
紗南,いや、あえて強敵に挑むってのも面白いかもよ！
梨沙,え！？紗南アンタ正気なの？
P,まぁ時間はたっぷりあるからな。一通りやればいいさ
晴,だな。梨沙、合わせろよ！
梨沙,誰に言ってんのよ！アタシにできないことなんてないわ！
P,お、来るぞ。紗南、梨沙をマークな、頼んだぞ
紗南,りょーかい、まかせといて！
晴,兄貴！いつものようにはいかないぜ！
P,それはオレを抜き去ってから言うんだな！
晴,なーんてね、勝負なんてしない！梨沙ぁ！
P,おっと
梨沙,オッケー晴！いけるわ！
紗南,お？私の出番だね。行くよ梨沙ちゃん！
梨沙,止められるものならとめてみなさーい！
P,いやー、楽しかったな。こまめに休憩を挟みながらとはいえ、久々に全力で運動したよ
晴,なー、また次の休みにやろーぜ
P,そうはいかないのは晴も知ってるだろ？こういうのはたまにやるから面白いんだ
晴,……そうだな
P,そんなに楽しかったか。梨沙と紗南に感謝だな
晴,いや、サッカーも楽しかったけどさ
P,？
晴,兄貴がさ、子供みたいにはしゃいで遊んでたのがさ。なんていうか、嬉しかったんだ
P,！
晴,兄貴があんな風に楽しんでたの、暫く見てなかった気がしてさ
P,そっか。……ありがとうな、晴
晴,……ん
P,家ではこんなに素直なのにな。なんで外だと恥ずかしくなっちゃうんだろうな
晴,まだ言ってんのかよ
P,ま、それもまた可愛いんだけどな
晴,……あのさ、兄貴はさ、ロリコンなのか？
P,ロリコンなんかじゃないさ。晴が好きなだけ
晴,……っ！。……ばかあにき
梨沙,P！仕事終わったわよ！
P,おお梨沙、お疲れ様
晴,
梨沙,ありがと。あれ？晴じゃない。なんでPの膝で寝てるの？……あんたまさか！
P,待て待て、誤解だ。晴はオレの膝で宿題してたら疲れて寝ちゃっただけだ
梨沙,膝上っていうかもはや抱きついて寝てるけどね。アンタちょっと職場でやりすぎなんじゃないの？
P,う、それはちひろさんにも言われた……
梨沙,イチャイチャしたいのもわかるけどね、そういうのはしっかり公私混同せずにやってこそなのよ！アタシだってパパに所構わず抱きつかないように頑張ってるんだから！
P,そうだよな……ちょっと寂しいけど、職場では控えるか……
梨沙,ん、そうしたほうがいいわ。それじゃアタシは帰るわね
P,おう、お疲れさん
晴,プロデューサー！宿題しに来たぜー！
P,お、晴か。学校お疲れさん
晴,……なんだこの机と椅子
P,いや、ちひろさんとかにこないだ注意されただろ？だから用意した。今日からそこで宿題してくれ
晴,……そっか。分かった
P,悪いな
晴,いや、注意されたんだから仕方ないよな
P,……
晴,……
P,……
晴,……
P,だーっ！くそ！ちひろさんがなんぼのもんだ！会社のモラルなんぞ知らん！
晴,うわっ！？いきなりなんだよ！
P,こんなにがっかりされて我慢できるかよ、ほら晴、ここ来るか
晴,え……でも
P,でも、じゃない。来たいか？来たくないか？どっちだ
晴,……
P,……
梨沙,で、なんで悪化してるわけ？
晴,
P,いやー、すげぇがっかりされちゃってさ。あんな顔されたらやめられるわけねぇよ
梨沙,とかなんとか言っちゃって、どうせアンタが嫌だっただけでしょ
P,ま、それはそうだな
梨沙,堂々としちゃって。ちひろはなんとか言わないの？
ちひろ,最初のうちは言ってましたけどね、晴ちゃんを膝に乗せてるとこのシスコンお兄さんはどういうわけか作業速度がほぼ倍になるんですよ。なので言えなくなりました
梨沙,うへー、ロリコンねぇ
P,ふふふ、居場所とは実力で勝ち取るものなんだよ、梨沙くん
梨沙,ま、アンタがそれでいいならいいのかしらね
晴,
梨沙,……。なんか晴が気持ちよさそうに寝てるの見たらアタシもパパに甘えたくなって来たわ
P,ん、ならもう今日は予定もないし、気をつけて帰れよ
梨沙,そうするわ。また明日ね、P、ちひろ。またね、晴
P,あっ
梨沙,いいじゃない、ひと撫でくらい
ちひろ,お疲れ様、梨沙ちゃん
梨沙,お疲れー
P,……
晴,……なんか今日はすげぇ撫でるな。なんかあったのか？
P,いや、きにするな
晴,……ま、いーけど。このっ……はー、うまくいかねぇなぁ……
紗南,お？晴ちゃんなにしてるの？
晴,これやってんだけどさ、案外難しいのな
紗南,おっ、国民的レースゲーじゃん。晴ちゃんこういうのにも興味あったんだね
晴,いや、そこまで興味はなかったんだけど、こないだ兄貴と対戦したら全然勝てなくてさ。悔しいから練習しようと思って
紗南,なるほど……晴ちゃん！練習のお手伝いしてもいい？あたし、レースゲーもけっこうイケるクチなんだよね！
晴,助かる！っていうか、こっちからお願いしに行こうと思ってたとこだよ。1人じゃどうにも勝手がよくわかんなくってさ
紗南,よしよし、このゲーマー三好紗南が晴ちゃんにレースゲーのいろはを叩き込んであげるよ！
晴,よろしく！
紗南,まずねー、この機体ごとのステータスについて説明しよっかな。このスピードってやつが……
晴,ふんふん……あっ、これそういう意味だったのな。適当に選んでたよ
紗南,そんでもって、晴ちゃんは好きなキャラとかいる？
晴,どのキャラがいいとかってあるのか？
紗南,あたしがオススメなのはこのあたりだけど……やっぱり好きなキャラでやるとモチベーション違うしね
晴,そっか。なら……んー、おっ、このキャラとかかっこよくないか？
紗南,おっ、いいとこついてくるね……
P,……
梨沙,P、アンタだらしないわね～、なに突っ伏してんのよ
P,晴来ない……
梨沙,あっそ。はぁ……重症ね、これは
ちひろ,いつもは晴ちゃん、学校から帰って来たらすぐにでもここにくるはずなんですけど……確かにちょっと遅いですね
梨沙,晴ならさっき休憩室で紗南と一緒に遊んでるところ見たわよ
P,！？来てたのか
ちひろ,あらあら、振られちゃいましたね？プロデューサーさん♪
P,ちくしょう……
梨沙,ちひろ、いーい顔してるわよ？
ちひろ,そりゃあね。毎日あんな光景見せつけられてる身ですから、少しくらいはやり返してもいいと思うんですよ
梨沙,そうね。確かにちょっといい気味かも
P,晴ぅ……
梨沙,でも、安心なさい？アンタのこと忘れたわけじゃあ、ないみたいだから
P,？。晴、今日はなんで来なかったんだ？
晴,そのことなんだけどな
P,？
晴,これで勝負しようぜ！
P,あー、こないだやってたやつな、いいぜ。……って、もしかしてこれをずっとやってたのか？
晴,そうさ！こないだのオレと思うなよ？紗南と特訓して、強くなったんだから！
P,オレとやるために……か
晴,？
P,なんでもない！よっしゃ！またボコボコにしてやるよ！
晴,ふっふっふ……。紗南！勝ったぜ！兄貴をボコボコにしてやった！
P,紗南ぁ！ずるいぞ！オレにも教えろ！
紗南,わかった、わかったから、2人とも、落ち着いてよ。じゃあ先ずはPさんから教えるね
晴,オレも教えてやるよ！
P,いや、秘密の特訓だからな。その間晴はあの部屋で宿題でもしててくれ
晴,え？。……
梨沙,ほんっとうに面倒臭い兄妹ねぇ……
ちひろ,ふふっ……そうですね
晴,……ばかあにき……。おはようざいまーす！来たぜプロデューサー！
ちひろ,あら晴ちゃん、おはようございます
晴,はよー、ちひろさん。あれ、兄貴は？
ちひろ,プロデューサーさんなら向こうの会議室を使ってるみたいですよ
晴,ありがと、行ってくる！
ちひろ,あ、教えちゃまずかったかしら……まぁ、なんとかするでしょう♪
晴,ふんふーん。ここか……ん？なんか聞こえる……
P,とうじ……こう……だ……りで……
梨沙,わか……まかせ……
紗南,なん…か……わく……ね……
P,しっ……は……きた……
晴,ん……よく聞き取れないな、開けるか。はよーす、3人揃ってなにしてるんだ？
P,よう晴、おはよう
梨沙,おはよ、晴。なんでもないわ、次の舞台の打ち合わせね
紗南,おはよう、晴ちゃん。……じゃ、あたしはこれで
P,おう、お疲れさん
梨沙,さて、アタシもそろそろレッスンがあるから戻るわ。当日を楽しみにしてるわね♪
P,おう！
晴,なんなんだ……？
P,打ち合わせだよ、打ち合わせ
晴,ふーん？
P,さて、いつもの部屋に戻って宿題するか？
晴,おう……あっ！そうだ、今日の宿題がめんどくさそうでさ……。……んん……。あれ、兄貴がいない……。っていうか……誰もいない……。その前に、ここどこだ？
杏,お、晴ちん起きたの
晴,杏か、ここどこなんだ？
杏,ここはね、仮眠室だよ。お昼寝する部屋であり、杏の城だね
晴,あー、ここが仮眠室か、使ったことないから知らなかったよ
杏,晴の兄貴なら晴をここに届けた後、どっか行ったよ。あと杏に晴の世話を任せていった
晴,ふーん……なんか出かける用事でもできたのかな……取り敢えずちひろさんに聞いてみるか……ありがとな、杏
杏,礼はいいから、飴をくれ
晴,悪いな、持ってない
杏,なら晴の兄貴に飴をよこすよう言っといて。杏はもう一眠りする。おやすみ
晴,ほどほどになー。起こしてくれりゃあ良かったのに……なんでわざわざ仮眠室に……。ちひろさーん。！？
4人,ハッピーバースデー！晴(ちゃん)！
晴,……へ？
P,驚いたか、晴
晴,おう……驚いた。いつの間に……って、こないだのやつか
梨沙,あら、案外反応薄いじゃない、もっと面白い反応しなさいよ
晴,いや、驚きすぎて反応が追いついてない……
紗南,あ、そういえば晴ちゃん寝起きだ。だからぼーっとしてんじゃない？
ちひろ,あー、そういうのもあるかもしれませんね
P,ふふふ……結構前から企画してたんだぞ、このパーティー
晴,おー……嬉しい……
梨沙,ん？どしたの、晴
晴,ありがとなー梨沙
梨沙,ふぇ！？
P,おっ、晴のやつ寝ぼけて反応が家にいるときのそれになってやがる
梨沙,晴って家だとこんな感じなの！？
晴,紗南もありがとなー
紗南,あー、はいはい。どういたしまして！
晴,ちひろさんもー
ちひろ,はい、どういたしまして
P,ちひろさんは何もしてませんよね？
ちひろ,役得です♪最後のクラッカーしか参加してませんが♪
P,あっ、この
晴,ありがとな、あにき～
P,やっときたか、遅いんだよ
晴,お
梨沙,うわ、聞いた？今の甘えきったあにき
紗南,家だとこんな感じなんだね……
P,ほら、晴。ケーキもプレゼントもあるぞ。オレからはサッカーボールな
晴,……サッカーボール……うわっ！？これ俺がずっと欲しかったやつじゃん！しかもサイン入り！？
P,お、ようやく目が覚めたか
晴,こんなん見たら覚めるって！はやくサッカーした……い……。……あれ？オレさっきなにして……あれ？。……
P,ほら、梨沙と紗南からのプレゼントもあるぞー
晴,……
梨沙,あれ、晴どうしたの？
P,今更恥ずかしくなって縮こまってるみたいだな
紗南,そりゃああんな姿見られたら恥ずかしいって……
P,ほら、晴。紗南が選んでくれたゲームもあるぞー
晴,っ……こ……
P,こ？
晴,この！ばかあにきー！！！
P,ほら、晴。ケーキもプレゼントもあるぞ。オレからはサッカーボールな
晴,……サッカーボール……うわっ！？これオレがずっと欲しかったやつじゃん！しかもサイン入り！？
P,お、ようやく目が覚めたか
晴,こんなん見たら覚めるって！はやくサッカーした……い……。……あれ？オレさっきなにして……あれ？。……
P,ほら、梨沙と紗南からのプレゼントもあるぞー
