発掘隊隊長,ふむ、この辺りには古代人の住居の遺跡がたくさんあるようだ
研究員,ヴィーネはそんな、能力を失ったガヴリールを放っておけず、お世話をするのです
隊長,敵対する存在と争うのではなく、逆に助ける……確かに異端ではあるが、良いことじゃないか
研究員,そう、そこなのですよ！
隊長,そこ？そことは……なるほど！。古代人は高い技術力を持ちながらも、愚かな事に同種属同士で争う野蛮な性質を合わせ持っていた……そこに、このガヴリールドロップアウトという聖書の存在！
研究員,ガヴリールドロップアウトは、読む者に争いの愚かさや種族の垣根を超えた愛の素晴らしさを説く、高尚な書物であったと推測できます
隊長,なるほどなるほど……他に解読できた物語はあるか？
研究員,この物語の中にはガヴリールとヴィーネ以外にも、複数の人物が登場しています
隊長,ほほう
研究員,例えばこのサターニャとラフィエルですがーー
男,ふわぁ～……ずいぶん長いことコールドスリープしてたが、お陰でここまで帰ってこれたぜ！。愛しの我が故郷、地球！。人類で始めて太陽系の外へ出た男の帰還だ……きっと大歓迎されるぜ！。しかぁーし、楽しみなのは帰還セレモニーだけじゃねぇ！。そーれーはー……ガヴリールドロップアウトの新刊だぁー！。俺が地球を出発した時、ガヴドロはちょうど100巻が発売された頃だったな。この100冊、何度読み返した事か……！。そしてアニメ！ガヴドロのアニメだ！。1期から20期まで、アニメの円盤も擦り切れるほど見たぜ！。……長い孤独も、ガヴちゃんやヴィーネ、サターニャやラフィ、タプちゃん達のお陰で乗り越えられたよ。本当に、ありがとうよ。あれからどんだけの時間が経ったか知らねぇが、さすがにガヴドロも完結してるはずだ！。くぅ～、早く黒奈ちゃんのフルネームが知りたいぜ！
船内アナウンス(CV富田美憂),そろそろ地球だぞ
男,お、マジか。ただいま！俺の生まれた青い、星……？。なぁガヴ、ここ本当に地球？
船内アナウンス(CV富田美憂),地球だって言ってんじゃん……降りて確かめてみたら？
男,お、おう。座標は日本を指している……大気も無害だが……。……ふぅ、船の外に出るぜ。……。……なんだこの、得体の知れねぇ建物は……⁉︎
生命体,××××！
男,え？うわぁっ⁉︎
生命体2,××⁉︎×××！
男,な、なんだこの、得体の知れねぇ生命体は！
生命体3,×××××！
男,まさか、宇宙人なのか？俺が太陽系の外まで行って一度も会えなかったってのに？。俺の地球が宇宙人に支配されてるぅ～⁉︎
生命体,×××××！
男,いや、もしかすると猿の惑星的な感じで、ガチリアルな地球も……得体の知れねぇ生命体の惑星になっちまったって事もアリエルぜ！。なにせ俺ったら、太陽系の外まで行ってコールドスリープまでしてたからな！そうたいせいりろん的なアレがソレしたせいで！俺は！。超絶未来の地球に帰ってきちまったんだァーーー！！！！！！
生命体2,⁉︎
生命体3,⁉︎
隊長,ふむ、やはりガヴリールドロップアウトの解読には時間がかかりそうだ
隊員,隊長！たいへんです！
隊長,ん？どうした、そんなに慌てて
隊員,お、おおお、落ち着いて聞いてくらさい！
隊長,私は至って冷静だが
隊員,古代人の乗った未知の乗り物が、空から降ってきました！！！！
隊長,なにィィイイ！！！？？
男,××！××××！××！
隊長,こ、これが例の
研究員,はい、空から降ってきた古代人です
隊長,危険はないのか？こんなガラス1枚だけでは不安なのだが
研究員,鎖で拘束してありますし、問題ないかと
隊長,しかし、報告によると一般市民に暴力を振るっていたらしいじゃないか！。本当に古代人なのか？なぜ彼は現代に生きている？得体の知れない侵略者ではないのか？
研究員,その疑問はごもっとも……ですので
隊長,な、なにか策があるのか！
研究員,本人に聞いてみましょう
隊長,え？
男,×××××！！！！！。くそっ！訳が分からない内に捕まっちまった！。幸いすぐに殺されはしねぇようだが、早く逃げねぇと……！。……。は、ははっ……そうだ、そうだよ。ここが地球なら、俺はどこに帰ればいい？。俺の故郷は、もうどこにも無いんだ……！。ちくしょう……ガヴリール……ガヴリールにまた会いたかったぜ……！
研究員,我々は古代人の研究しているのですよ？会話は無理でも、あるいは筆談なら可能かもしれない
隊長,そうか！そうだったな！さすが研究員！
男,××……ガヴリール……ガヴリール××××……！
隊長,⁉︎
研究員,こ、これは
隊長,ああ、確かに聞こえたぞ
隊長・研究員,ガヴリール！
研究員,××××
隊長,×××
男,はは、なに話してんだろな……俺をどうやって食うかの相談かな……
隊長・研究員,ガヴリール！
男,……え、幻聴、か？今、得体の知れねぇ生命体が
隊長,ガヴリールドロップアウト！
研究員,ヴィーネ！サターニャ！ラフィエル！
男,え、な、なん、で……なんでこいつら、ガヴちゃん達の名前を……⁉︎。ガヴリールドロップアウト×××？××、××××サターニャ⁉︎
隊長,通じてる、通じてるぞ！
研究員,やはりガヴリールドロップアウトは古代人の聖書だったのですよ！
隊長,ならば、彼はきっと無害だ！早く拘束を解いてあげるんだ！
隊員,は、はい！
男,ガヴィーネ⁉︎サタラフィ⁉︎。なにがどうなってやがる……⁉︎
隊員,ガヴサタ
男,うわっ！……って、鎖を外してくれた？
隊員,ラフィーネ
男,ガラスの壁が上がってくぜ
隊長,××××
研究員,××××
隊長,我々の研究は正しかった
研究員,ならば、これまでに解読した古代語も、通じるかもしれません
隊長,いくぞ
研究員,はい
隊長,ワタシタチ、テキ、チガウ
研究員,アナタノ、トモダチ、ナリタイ
男,⁉︎。こ、言葉が、分かる
隊長,アナタ、ムカシ、ヒト
研究員,ワレワレ、ミライ、ヒト
男,やっぱり、ここは俺の生まれた時代より、ずっと未来の地球なのか……！
隊長,ガヴリールドロップアウト、スキ
研究員,ガヴリールドロップアウト、ムカシヒト、スバラシ
男,は、あはは！んだよ、なんで未来人がガヴドロ知ってんだよ！あはは！あはははは！！！！
研究員,これは、ガヴリールドロップアウトの中でもありましたね
隊長,ああ、笑っているな
研究員,笑いとは良い感情です
隊長,やはりガヴリールドロップアウトは良い物だったのだな！
男,アハハ！ガヴリールドロップアウト！アハハ！。あー……ここ、俺の、家……ワカル？
隊長,ワカル、イエ、スムトコロ
男,おー、イエスイエス……で、ほらこれ
研究員,ガヴリールドロップアウト！
隊長,ガヴリールドロップアウト！キレイ！
男,そうだな、あんたらの持ってるガヴドロはボロボロだったもんな！
隊長,ボロボロ？
研究員,すごいですよ！こんな状態の良いガヴドロが残っているなんて奇跡です！
隊長,ああ、しかも1番から100番まで全て揃っている！
研究員,男さん、えーと、コレ、ツヅキ、ドコ？
隊長,そうだな、100番より先のガヴドロが見当たらない
男,つ、ツヅキ？。ツヅキって、続きのことだよな……いや待てよ、むしろ続きを読みたいのは俺の方じゃねーか！。いったい未来じゃ、ガヴドロは何巻まで出てるんだよ！あー、えーと、うー……オレ、ヨミタイ、ツヅキ、ナイ！……どうだ⁉︎
研究員,ナイ？ガヴドロ、ナイ？マジデ？
隊長,ホシイ、キレイナ、ガヴドロ、ホシイ
男,これは俺のガヴドロだよ！アゲナイ！
研究員,どうやら続きは無いようですね
隊長,男が地球を旅立った後のガヴドロは無いのだな……残念だ
船内アナウンス(CV富田美優),今日はガヴドロのアニメ見ないのか？
隊長,な、なんだ今の音は！
研究員,いえ、声のようでしたが！
男,！。そういや、こいつらガヴドロの単行本は持ってるようだったが、アニメの話は全然しねぇな。……ふふふ、ちょっと驚かしてやるか。ああ、見るぜ！今日は1期の1話を頼むぜ！
船内アナウンス(CV富田美優),はいはい、ちょっと待ってな
男,自慢の特大スクリーンだぜ！
隊長,おや、何か装置が作動したようだぞ？
研究員,あれは……何か映し出されているようですね
男,ガヴリールドロップアウト、アニメ、イチワ
隊長,あ、にめ？どういう意味だ？
研究員,この映し出されているモノがあにめなのでしょうか
隊長,いったい何が映ると……。！！！？！？！？？！
研究員,！！！！！！！！！
男,へへっ、驚いてる驚いてる！
隊長,フォーーーー！！！！！！
研究員,イェェーーーイ！！！！！
男,んほぉぉぉおおおお！！！！！。ふぅ、今日もガヴドロが大量だぜ
隊長,男さん！どうですか、今日のガヴドロは
男,ああ、今日はなんと600巻が出土したんだぜ！
隊長,600巻！すごいじゃないですか！これまでの定説が全部覆りますよ！
男,ああ！研究員の驚く顔が目に浮かぶぜ！。ガヴリールドロップアウト
隊長,男さん？
男,へへっ、やっぱりガヴドロって最高だぜ！
