※時系列は一応,ツナグ、ソラモヨウ
香澄,あれ？もしかして照れてる？
蘭,照れてない！！///
香澄,あはははは！
蘭,全く・・・調子狂うな・・・。・・・そういえば、初めて会ったときからこんな感じだったな。はっきりとは分からないけど、。香澄は、あたし達とは違う何かを持っている・・・？
香澄,蘭ちゃん？どうしたのボーッとして
蘭,え？いや、なんでもない
香澄,そう？
蘭,うん。いけない、道案内しないと。それは別にいいじゃん。あたしと話しても面白くないでしょ？
香澄,そんなことないよ！！
蘭,！？。あ、あたしが、楽しそうに？。ま、まあこんな偶然あるんだなって思ったけど・・・
香澄,それにね！
蘭,う、うん
香澄,蘭ちゃんは私の星の鼓動のこと分かってくれたもん！
蘭,・・・天体観測のときのこと？。・・・・・・。星の、鼓動・・・
香澄,？
蘭,そうか・・・
香澄,蘭ちゃん・・・？
蘭,香澄、ありがとう
香澄,え？
蘭,やっと見つけた。切っ掛け。おはよう、みんな
上原ひまり,あ、きたきた！おはよう、らー・・・ん？
宇田川巴,どうしたひまり。・・・お？
羽沢つぐみ,おはよう蘭ちゃ・・・あれ？
モカ,なになにーどうしたのー・・・ほう？
香澄,えへへ。おじゃましまーす！
モカ,悪いな香澄。このスタジオは５人用なんだ
香澄,・・・あれ？もしかして、蘭ちゃん話してないの？
蘭,あれ・・・？言ってなかったっけ・・・
Afterglow一同,？
香澄,・・・というわけなんだけど
ひまり,なにそれ！？すごく面白そうじゃん！！
巴,だな！ワクワクするよ！
つぐみ,楽しそうだね！
モカ,へーマジっすかー
蘭,ほらね？言ったでしょ？
香澄,う、うん。えーっと、みんな本当にいいの？そんなにあっさり
ひまり,こんな面白そうな話乗らないわけないよ～！
つぐみ,私もしばらくお店のお手伝いは少な目だから大丈夫だよ
巴,アタシも問題なしだ！
香澄,そっか。よかった～
モカ,・・・・・・・・・・
香澄,あ、ごめんね！モカちゃんの意見も聞かないとだね！
モカ,・・・うーん、あたしよりさー。蘭はどうしたいのー？
蘭,あたし？
一同,・・・
蘭,あたしはやるよ
モカ,ほらこう言ってるじゃ・・・え？
Afterglow一同,ええ！？
巴,どうした！？何かあったか！？
ひまり,いつもなら渋るじゃん！
つぐみ,即答なんて意外すぎるよ！
蘭,みんなは大袈裟すぎ！！。うん、それもそう思うけど・・・
香澄,けど、なに？
蘭,ううん。なんでもない。とにかく、あたしはやりたい
ひまり,まあ、蘭がそう言うなら・・・ね？
つぐみ,うん。なにごともチャレンジだね！
巴,で、どうすんだよモカ？
モカ,うーん、ようするにさー
香澄,？
モカ,一時的とはいえ香澄があたし達のギタボになるわけだよねー？
香澄,う、うん
モカ,・・・・・・・・・・・・・・
香澄,・・・
モカ,・・・蘭がやりたいならいいかー。よろしくー
香澄,うん！よろしくね！
モカ,ま、ほどほどに頑張りますよー
ひまり,もう！そんな適当な返事して～！
モカ,・・・はーい
巴,・・・・・・。モカの奴・・・まさか・・・。・・・気にしすぎか
つぐみ,巴ちゃん、どうかしたの？
巴,いや、なんでもない
ひまり,よし！そろそろ練習始めようか！
蘭,あ、待ってひまり
ひまり,ん？
香澄,蘭ちゃん。私から言うよ
巴,なんだ？
香澄,あのね。このまま練習を見学していいかな？
つぐみ,私たちの？
巴,なるほど。そういうことか
ひまり,だったら、かっこ悪い演奏は見せれないね！
つぐみ,そうだね！頑張ろ！
モカ,しょーがないなーもう
蘭,よし、じゃあ前回の
ひまり,ちょっと待った！いっそのことライブしようよ！
蘭,ライブ？
モカ,また、ひーちゃんがおかしなこと言い始めた
香澄ちゃんは,私たち
つぐみ,た、確かに！
モカ,一理ある、かも？
蘭,最初からそう言ってよ・・・
ひまり,だってリハとはちょっと違うし
蘭,なんで？
ひまり,だって。今日はお客さんがいるもん！ね、香澄♪
香澄,え・・・私？
巴,ははは！他に誰がいるんだよ！
ひまり,どうかな？やる価値はあると思うよ
蘭,分かった。それでいこう
モカ,しかたないなー
つぐみ,香澄ちゃん。ちょっと待っててね
香澄,う、うん
蘭,セットリストどうする？
モカ,前のライブのやつで良いんじゃない？
ひまり,ツナグ、ソラモヨウがトリだった奴だね
香澄,ツグノ、コイモヨウ？
つぐみ,違うよ～///これは私たちのﾑｸﾞ
巴,香澄はお客さんだからな。セットリストは内緒だ
香澄,は～い。じゃあちょっとトイレ行ってくるね
蘭,よし、じゃあ次は・・・
モカ,なんか蘭、張り切ってない？
蘭,そう？
つぐみ,うん。まるで本番前みたい
巴,そういうつぐもだけどな
ひまり,巴もだよ♪
蘭,いや、ひまりもでしょ
ひまり,だって私言い出しっぺだし！
蘭,全くだよ、もう
モカ,と言いつつ張り切るんだよねー
蘭,うるさい
モカ,香澄のために
蘭,・・・うるさい
モカ,・・・
ひまり,もういいよー！
香澄,わ～！なにこれ、ライブハウスみたい！
つぐみ,えへへ。ちょっと照明をいじってみたんだ♪
巴,香澄！今日はお前の歓迎ライブだ！！楽しんでくれよな！！
ひまり,ひまりちゃん、貴女のために頑張ります！ってね♪
香澄,Afterglowのみんなが、私のために・・・
蘭,香澄。あくまでボーカルシャッフルのためだからね？
香澄,わ、分かってます！
蘭,・・・でも、全力で演奏するのに変わりはないから
ひまり,・・・
巴,・・・
つぐみ,・・・
モカ,・・・
香澄,みんなの目付きが、変わった・・・
蘭,見てて、あたし達の本気
香澄,・・・っ！！
蘭,ScarletSky
香澄,すごい・・・。・・・分かってた・・・分かってたはずなのに・・・。サウンドが・・・ビリビリ響いてくる・・・！！。・・・そうだ・・・これがAfterglowなんだ・・・
巴,続いて、Y.O.L.O!!!!!
香澄,でも、違う・・・私が初めて見たときと全然・・・。気のせい、かな？みんな私を意識してる気がする・・・
蘭,最後は、あたし達の新曲。
香澄,！
蘭,聞いて。ツナグ、ソラモヨウ
香澄,・・・・・・・・・・・・・・・・・・。・・・これが、蘭ちゃんたちの・・・。なんだろう、パワフルなサウンドはそのままなのに。爽やかで、聞いてて凄く心地いい・・・。まるで朝焼けの空みたい・・・。本当に・・・凄い・・・。甘かった・・・Afterglowのステージで歌いたいだなんて・・・。私、とんでもないこと引き受けちゃったかも・・・。今の私じゃ、とても・・・
蘭,ふう・・・
巴,なかなか良かったな！
つぐみ,うんうん！いい感じだったね！
モカ,このくらい、よゆーですよー
ひまり,香澄！どうだった！？
香澄,・・・・・・・・・
ひまり,ありゃ？
巴,おーい。香澄ー！
つぐみ,香澄ちゃーん！
香澄,・・・はっ！！え、なに！？
蘭,どうしたの一体？
巴,おお！そうかそうか！そんなに感動してくれたのか！
つぐみ,えへへ。嬉しいなあ。頑張った甲斐があったよ！
蘭,ひまりうるさい。気持ちはわかるけど
モカ,だねー。香澄がリアクションすら取れなかったなんてねー
香澄,っ
モカ,ねー香澄
香澄,な、なに？
モカ,・・・・・その顔、自覚してる顔だね
香澄,・・・・・・
ひまり,？
つぐみ,モカちゃん？
モカ,・・・なら言うまでも無いかー
巴,おいモカ。どこに行くんだよ
モカ,お花摘みに行ってくるー。暫くよろしくね。Afterglowの臨時ギタボさん
香澄,・・・・・・
巴,なんだよあいつ・・・
蘭,香澄、大丈夫？
香澄,・・・え、なにが？
蘭,いや、気にしなくていいよっていうか・・・
ひまり,そうそう！モカが変なこと言うのなんていつもの事だし！
巴,悪かったな。気に障ったならアタシからガツンと・・・
香澄,ううん！大丈夫大丈夫！何も気にしてないよ！
つぐみ,ほんと？
香澄,ていうか何を言ってるのかよく分からなかったし！あははは！
一同,・・・
ひまり,ねえ。香澄なんかおかしくない？
巴,ひまりも気付いてたか
つぐみ,やっぱり変だよね・・・
ひまり,モカのせいだよきっと
巴,いや、そういや演奏が終わったときから・・・
蘭,・・・はあ
つぐみ,蘭ちゃん？
香澄,自覚、か・・・。役不足ってことだよね・・・？。やっぱり、今の私じゃ・・・
蘭,ふんっ
香澄,いたっ！？
アフロ一同,！？
蘭,・・・
香澄,な、なにするの蘭ちゃん！
蘭,驚いた。こんな紙でも束ねると良い音出るんだ
香澄,へ？
蘭,はいこれ
香澄,これって・・・Afterglowの楽譜！
蘭,そ。前に香澄があたしに頼んだやつ
香澄,わー、ありがとう！
蘭,よかった。忘れてたらどうしようかと思った・・・
香澄,そんなことしないよ～！
巴,へー、こんなの用意してたのか
ひまり,・・・そうか！そうだったんだ！
つぐみ,え？どうしたの？
ひまり,えーと、えーと・・・あった、これだ！！
巴,なんだなんだ？
ひまり,香澄！これもあげる！
香澄,わ！CD！ライブ映像まで！？
ひまり,BDに焼いちゃいました♪
蘭,ひまり。急な頼みだったのにありがと
巴,おお！マジか！
つぐみ,そうか！だから、ひまりちゃんもCDやBDを？
ひまり,そうそう！いきなりどうしたのかと思ったよ！。ひゃあ！？///ちょ、ちょっと～大袈裟だよ～
巴,ひまり。ニヤけてるぞ♪
ひまり,うるさーい！///
香澄,いやいやそんな！つぐと比べたら全然だよ～！
蘭,ふふ
香澄,？
蘭,やっと顔を上げたね
香澄,え？
蘭,さっきからずっと下向いてたよ
香澄,あ・・・
つぐみ,調子が戻ってきたね♪
巴,だな。よく知ってる香澄だ
蘭,まったく、この前らしくないって言ったばかりなのに。少しは目が覚めた？
香澄,そうか・・・さっき頭を叩いたのは・・・。気合いを入れるために・・・
蘭,花園さんと約束したんでしょ？
香澄,！！。・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・
ひまり,香澄？
香澄,・・・・・・・・・・・・・・・・・・・・・・フーンッ！！
一同,！？
香澄,フンッ！フンッ！フンッ！！
つぐみ,ど、どうしたの！？急に自分の頬を叩いて・・・！
香澄,ふー・・・ごめんごめん、ちょっと自分に渇入れてた
巴,いや、やりすぎだろ！頬真っ赤だぞ！？
ひまり,女の子なんだから自分の顔は大切にして～！
香澄,大丈夫！ツバつけとけば治るよ！
ひまり,そういう問題じゃなーい！
香澄,・・・蘭ちゃん
蘭,な、なに？
巴,師匠って？
つぐみ,た、多分花園さんのことだと思う
香澄,さっきはありがとう。完全に目が覚めた
蘭,・・・うん
香澄,戸山香澄！脱皮します！！
蘭,・・・うん！
ひまり,だ、脱皮？
巴,なんかアタシらだけ置いてけぼりだな・・・
香澄,みんな！
一同,・・・
香澄,よろしくお願いします！！！
巴,か、香澄！頭上げてくれ!アタシらはそんな大層なもんじゃないよ！
つぐみ,そうだよ！もっと気楽に、ね？やり辛いよ～
香澄,はっ！ごめん！
ひまり,ロックでカッコいいか～えへへ♪
つぐみ,ありがとう香澄ちゃん！一緒にがんばろうね！
巴,ほら、見ろよ！蘭なんてさっきから照れて俯いてるぞ！
蘭,別に、照れてないし！！//////
ひまり,あはは！。まあ、それは置いておいて～・・・香澄！
香澄,？
ひまり,だからね、さっきみたいに身構えないでほしいな。折角の機会だもん！香澄ともっと仲良くなりたいし！。だから！リーダーとして一言！。ようこそAfterglowへ！私たちはあなたを歓迎します！
香澄,ひまりちゃん・・・！。ありがとおおおおおおおおお！！
ひまり,ひゃあ！？///ま、また！？///
香澄,巴ちゃんもー！
巴,うお！？
香澄,つぐもー！
つぐみ,え？え！？///
蘭,もう、安心したからって吹っ切れすぎだって・・・。でも、香澄のその勢い。嫌いじゃないよ
香澄,蘭ちゃん何か言った？
蘭,う、ううん。ただの独り言
香澄,ウソだ～何か言ったでしょ～？
蘭,い、言ってない///
香澄,・・・ウソつきには～こうだ～！！
蘭,ちょっと・・・もう！抱きつかないでってば！//////
モカ,・・・・・・・・・・・・・・・・・・・・。・・・・・・ふん
香澄,今日はありがとう！
巴,良いってことよ！これからよろしくな！
ひまり,練習の予定は決まり次第連絡するからね！
つぐみ,楽しみにしてるよ！
香澄,ありがとう！こちらこそよろしく！。・・・あれ？そういえばモカちゃんは？
モカ,ここにいるよー
蘭,うわあ！？
モカ,デジャブ？
蘭,自分で言うんだ・・・
ひまり,モカー！急にいなくならないでよー！
モカ,ごめんごめーん
ひまり,・・・悪いと思ってないでしょ
モカ,割とー
巴,お前なあ・・・
つぐみ,まあまあ二人共・・・
蘭,・・・ていうかいつまで肩に顎乗せてるの？重いから降りて
モカ,むー酷いなーレディーに向かって重いだなんてー
香澄,と、とにかくモカちゃんもこれからよろしくね！
モカ,・・・はいはーい
巴,・・・
モカ,どしたのともちん？
巴,・・・別に
香澄,じゃあ、今日はほんとにありがとう！次は練習で会おうね！。ご、ごめんね。また今度絶対行くから！
つぐみ,どうしたの？用事？
香澄,用事っていうか・・・。早く練習したいんだよ～！Afterglowの曲！少しでもたくさん！
ひまり,・・・そっか。うん！それじゃ仕方ないね
香澄,ご、ごめんね！せっかく誘ってくれたのに・・・
つぐみ,ううん。香澄ちゃんが一生懸命なのが嬉しいよ！
巴,だな！成果を見せてくれよ！
香澄,みんな・・・
蘭,香澄
香澄,ん？
蘭,頑張ろうね。お互い
香澄,・・・っ！うん！！
巴,お、いいな～！夕日の前で拳を合わせる！
ひまり,ちょっと写真撮っていい！？ＳＮＳ映えしそう！！
蘭,ちょっとやめてよ！///
つぐみ,ふふ。モカちゃんが持ってる漫画みたいだね！
蘭,つぐみまで・・・
一同,あはははははは！
モカ,意外だね～ひーちゃん
ひまり,なにが？
モカ,香澄を誘ったのをあっさり諦めたのがだよー
巴,いつもならもうちょっと粘るよな？
ひまり,だってさー無粋かなって思って
つぐみ,無粋？
蘭,わかる気がする・・・
モカ,それで？。ほうほう
巴,そこまで一生懸命になってくれてるのか・・・
つぐみ,嬉しいよね！
蘭,うん。あたしたちも負けてられないね
モカ,って蘭はしばらくポピパじゃーん
巴,へへ、言うじゃねえか！
ひまり,こっちは任せて！香澄と一緒に５人６脚！
つぐみ,ポピパと一緒に頑張ってね蘭ちゃん！
蘭,うん。みんなもね
モカ,やれやれ～みんな張り切ってますなー。そうですねー
一同,・・・・・・・・・・・
モカ,？
蘭,・・・モカ。リハの後に香澄に言ったあれ、どういうつもり？
モカ,んー？
巴,それ、アタシからも聞きたいな
モカ,どしたの二人共ー？
蘭,・・・次とぼけたら本気で殴る
ひまり,ちょっと蘭！巴も！
巴,悪いなひまり。これだけは今日中に片を付けたいんだ
蘭,右に同じ
ひまり,・・・分かった。でも暴力はダメだよ
つぐみ,ひまりちゃん・・・
ひまり,とりあえず見守ろう、つぐ
つぐみ,・・・うん
蘭,じゃあリーダーの許可も下りたところで、本題
巴,なんで香澄を煽った？
蘭,あれ、明らかに挑発でしょ
モカ,・・・香澄にはしっかりしてもらわないと困るんだよー
蘭,は？。だから煽ったの？
巴,・・・てめえ何様のつもりだ
モカ,んーモカ神様ー？
巴,この・・・！！
ひまり,巴っ！！！
巴,・・・っ！
ひまり,暴力はダメだって言ったよね？
巴,・・・ごめん
蘭,・・・モカ。スタジオでも言ったけど香澄には
モカ,迷惑かけない、でしょ？分かってるよー約束する
蘭,なら、いい。・・・でも少しでも破ったら縁切るから
モカ,っ
つぐみ,蘭ちゃん・・・
ひまり,大丈夫だよ、つぐ
モカ,・・・じゃあまた明日ねー
つぐみ,え？
ひまり,やまぶきベーカリーは？
モカ,気分じゃなーい。じゃーねー
一同,！？
蘭,嘘でしょ・・・？
つぐみ,モカちゃんが練習帰りにパンを食べないなんて・・・
ひまり,そんなことあった今まで！？
巴,・・・らしくないな
ひまり,そうだよね！まさかのパンをスルーとか！
巴,いや、それもそうなんだけどな
ひまり,え？
巴,あんな冗談じゃ済まないことを言うやつじゃない
つぐみ,・・・だね
ひまり,たしかに、らしくない、かな
蘭,イラついてた？何に？
巴,・・・多分、香澄に
ひまり,え！？
蘭,え、これって・・・雨？
ひまり,うそ！？さっきまで晴れてたのに～！
巴,マジかよ！この感じは大雨になるぞ！
蘭,最悪・・・！折り畳み傘持ってない・・・！
ひまり,みんな！今日は解散！濡れる前に帰るよ！！
一同,了解！！
モカ,・・・・・・・・・・・・・・・・・・。・・・・・・・・・・・・・・・・はあ。みんなに、八つ当たりしちゃった・・・。香澄にも、上から目線で接した・・・。ほんと・・・何様なんだろ、あたし・・・。醜いよな～・・・・。・・・嫉妬するなんて・・・。みんなに謝らなくちゃ・・・・・・・香澄にも・・・。追いかけるって決めたのに・・・・・。・・・・・・あたし、何やってるんだろ・・・
香澄,ゔゔゔゔゔゔゔゔゔゔゔゔゔゔゔゔゔゔ・・・・。難しそう・・・！！TAB譜なのにこんがらがってくる・・・！！。少なくとも耳コピは無理そうだな～・・・。・・・そういえばライブのＢＤ貰ったんだっけ。・・・・・・まず、イメージを掴もう。練習はそこから。・・・・・・・。上手いな～・・・何度見ても・・・。分かってたけど、年季が違うよね・・・。それに・・・。やっぱり蘭ちゃん・・・。カッコいいなあ・・・///
戸山明日香,ただいまー。あれ？お姉ちゃんは？
明日香,ノートパソコン？お姉ちゃんが？
母,なんかＢＤ見るから貸してって
明日香,？。ほんとだ、お姉ちゃんの部屋からライブっぽい音が聞こえる。・・・気になる。！？。お姉ちゃんがオタクみたいになってる・・・！！
香澄,いけないいけない・・・普通にライブを堪能しちゃった・・・。・・・でも、なんとなくだけど、イメージは掴めたかな。よし！ゆっくりでもいいから弾いてみよう！！。はあ・・・はあ・・・・。やばい予想以上にしんどい・・・。指つりそう・・・一回休憩を・・・。・・・だめだめ！こんなところで弱気になちゃだめ！！。紗夜先輩も言ってたじゃん、ギターが上手くなる近道なんてないって！。弾こう・・・弾くしかないんだ・・・！！
明日香,さっきのあれは何だったんだろう・・・。思わず聞かなかったことにしたけど・・・。やっぱり気になる・・・！。お姉ちゃんが語彙力の無いオタクみたいになってる・・・！！
香澄,うう・・・ここがどうしても出来ない！
たえ,なるほど・・・ここはこうしたほうが・・・
氷川紗夜,戸山さん！また肩に力が入ってますよ！
香澄,は、はいぃ！！
紗夜,・・・少し休憩にしましょうか。いえ、いつも生徒会の仕事を手伝ってもらってるお礼です
香澄,・・・紗夜せんぱーい！ぎゅ～～～～～～～～っ！
紗夜,ちょ、ちょっと戸山さん！///
香澄,蘭ちゃん。ちょっと相談が・・・
明日香,・・・病院連れて行ったほうがいいのかな？
香澄,ついにこの日が来てしまった・・・！！。なんとか、粗削りとはいえ形にはなったけど・・・どうなるのかな～・・・。ん？着信・・・蘭ちゃんからだ！。も、もしもし！。お、おはようございます！。ごめん・・・これからAfterglowとの練習で緊張してて・・・。うぐ・・・！。・・・え？なんで知ってるの？。紗夜先輩が・・・？。そ、そうなんだ・・・///。蘭ちゃん・・・。え？。さーや！？。みんなまで！？ど、どうして！？。そうだったんだ・・・。おたえ？。・・・。・・・うん！！頑張るよ！！。あはははは！そうだよ！。うん！ありがとう蘭ちゃん！みんな！行ってくる！。・・・ありがとう。よし！。戸山香澄！今日からお世話になります！！
蘭が見つけた,切っ掛け
