約２年前に書いた前作です。,読まなくても支障はありません。
提督,吹雪！！熱っ！ひどい熱だ！
リク,不思議な力で傷が治って、熱がある・・・ひょっとして
ペガ,リトルスター？
リク,そうかもしれないね・・・。あの提督さ・・・
モア,失礼します！！！ニコニコ生命保険です！！
ゼナ,ここはAIBと連携している鎮守府だから、そう名乗る必要はないとここに来る前に説明しただろ・・・
リク,モア！？それにゼナさんも？
提督,貴方方はAIBの・・・
ゼナ,ウルトラマンキングが去ったというのにまだ発症が見られるとはな・・・
モア,特例ということですか？
ゼナ,その可能性があるな・・・
提督,おい、一体何がどうなってるんだ？
あきつ丸,それは自分の方からお話するであります
提督,君は・・・あきつ丸！
モア,あきつ丸さん！お久しぶりです！
ゼナ,派遣任務ご苦労であった。引き続き頼む。
あきつ丸,はっ！了解であります！
提督,あきつ丸、挨拶もいいが説明を・・・・
あきつ丸,提督殿、以前お話したリトルスターの事は覚えておいでで？
提督,あ、ああ・・・詳しい内容は難しくて覚えてないけど、突然不思議な力が使えるようになるって事なら・・・
あきつ丸,その通り！それで今その現象が、吹雪殿に起きているのであります！
提督,なんだって！？じゃあ、傷が回復したりその後の疲労感が来るのは・・・
あきつ丸,リトルスターの影響だと考えられるであります。現に、吹雪殿の体が熱くなっているのであります！
ゼナ,そこで提案なんだが、彼女をAIBで預からせてくれないか？ウルトラマンベリアルの脅威は去ったが、リトルスターを狙う宇宙人は後を絶たない・・・
モア,安心してください！吹雪ちゃんは絶対に傷一つつけたりしません！
提督,・・・・
あきつ丸,提督殿？
提督,確かに、あなた方に預ければ安心ではありますが、ここも軍事施設であり私はその提督、そして吹雪は私のぶ・・・大切な仲間。なら、彼女を守るのは私の役目なのではないでしょうか？
吹雪,司令官・・・！
ゼナ,老婆心というヤツだったか・・・すまない。だが、もしものことがあったら、頼ってくれ
提督,はい。分かりました・・・っと、すいません・・・ちょっと御手洗いに・・・
吹雪,司令官ってカッコつけてキメると、すぐ恥ずかしくなっちゃってトイレって言って、すぐその場からいなくなっちゃうんです。
大淀,ノロケですか
あきつ丸,ノロケでありますな
吹雪,ち、ち、違います！！！///
モア,ふふふ。ところで、先輩
ゼナ,なんだ？
モア,さっき先輩、老婆心って言いましたよね？ひょっとして、先輩っておばあちゃん？
ゼナ,この国の言葉で、いらぬお節介という意味だが？何故私の方が意味を知っているんだ？
モア,え～っと・・・それは・・・・あははは・・・てへっ☆
ゼナ,・・・帰って勉強だ
モア,そんな～～殺生な～～
リク＆吹雪,知らなかった・・・
提督,ふぅ～・・・ああは言ったものの、正直のところ自信ないなぁ・・・・って、弱気になっちゃダメだ！！吹雪は私が守らないと！！だって吹雪は私の・・・。ひゃん！！何だ何だ！？。あの部屋から聞こえる？。失礼しま～す・・・誰かいますか～？
？？？,こっちだ・・・こっちにこい・・・
提督,え？ここですか？
？？？,そうだ。そこでいい。これで・・・
提督,？
ベリアル,お前の体は俺様のモノだ！フハハハハハ！！！
提督,うわあああああああああ！！！
吹雪,司令官遅いな・・・
あきつ丸,ホントにお腹を下したでありますか？
モア,あきつ丸さん・・・
吹雪,司令官？
提督,？
吹雪,え？し、司令官///
モア,え、え、ええ！？？真っ昼間からそんな・・・り、りりり、りっくん！！私たちも///
リク,？
ゼナ,いいから少し黙っていろ・・・様子がおかしい・・・
吹雪,ねぇ・・・貴方本当に司令官？
提督,？
吹雪,い、痛い！！離して！！
あきつ丸＆大淀,！！
提督,？
あきつ丸,提督殿はどんな理由があろうとも吹雪殿が痛がる事は絶対に致しません・・・
大淀,それに貴方からは殺気を感じます・・・隠していてもまるわかりですよ？貴方は何者なんです？
提督,？
モア,息子・・・まさか！！！
リク,ベリアル・・・！
ゼナ,生きていた・・・いや、蘇ったのか？
ベリアル,ふん！この世に闇がある限り、俺様は何度でも蘇るんだよぉ！！。さあ。小娘！一緒に来てもらうぞ！！
吹雪,ッ・・・！
ベリアル,痛っ！！貴様！！
ゼナ,動くな！！
リク,ペガ！今の内に吹雪を星雲荘に！
ペガ,わかった！さ、早く！！
リク,レム！！
吹雪,え？え？この子？誰？何？
モア,大丈夫！心配しないで！リッくん！先輩！無理しないで・・・
ゼナ,・・・
リク,うん！
ベリアル,チッ・・・まあいい。先に面倒な貴様らを始末してやるか！
ゼナ,ここの鎮守府の主力部隊に出撃要請を！緊急事態と伝えてくれ！！
あきつ丸,了解であります！
ベリアル,フン！無駄な足掻きを！何人来ようがどうせ俺様には勝てない・・・
ゼナ,どういうことだ！？
ベリアル,俺様にはこれがあるからだ！！！！ハーッハッハハ！！！。フハハハハハ！！！とっておきのフュージョンライズだ！
あきつ丸,あの姿は・・・
大淀,まるで空母棲鬼と戦艦水鬼が合体したみたいです・・・
リク,ジーッとしててもドーにもならねぇ！！。融合！。アイゴー！。ヒアウィーゴー！。決めるぜ！覚悟！。ジィィィィィィィド！！
ベリアル,さあ、来い息子よ・・・
ジード,僕のことを・・・息子って呼ぶな！！
吹雪,リク君が巨人に！？それにここは！？あなたたちは！？
ライハ,え～っと何から話していいのやら・・・
モア,そ、そうね！！いけぇ！！リッくん！！
ペガ,頑張れ～！！リクー！！
ジード,ハァッ！！りゃあ！！
ベリアル,お？どうした？お前の攻撃はそんなものか？それともじゃれあいたいのか？
ジード,黙れ！！
ベリアル,反抗期が抜けてないようだな！！やれ！！艦載機ども！！！
ジード,なんだ!?この！！レッキングバースト！！！！
ベリアル,ほう・・・まだやれるじゃねぇか・・・じゃあ今度は俺様が直々に相手してやる！！はぁ！！
ジード,うわぁっ！！うっ・・・
ベリアル,威勢がいいのは最初だけか？どんどん行くぞ！！
ジード,だったら・・・。ストライクブースト！！
ベリアル,ふん・・・だが、詰めが甘い！！
ジード,ぐあっ！！
ベリアル,ホラホラァ！！まだまだ青いな息子よ！！
ジード,うるさい！！！黙れ！！黙れ！！！
ベリアル,ふん！つまらん！これで終わりだ！！！
ジード,ぐああああああああああ！！！
ペガ,リク！！
マユ,今日はパパとママとお出かけ～♪楽しいな～
ルミナ,ふふふ・・・レイト君、今日はありがとうね。
レイト,いやいや、休みの日くらい家族サービスくらいしないとね
ルミナ,きゃっ！！何！？
レイト,あ、アイツは・・・ベリアル！！
マユ,パパ・・・
レイト,ルミナさん、マユ、ちょっと待っててね・・・ゼロさん！！行きますよ！！。ちょっとゼロさん！！聞いてるんですか！？・・・・ってそういえばもういらっしゃらなかったんですね・・・
ベリアル,おい。さっきからごちゃごちゃうるせぇぞ！！
レイト,だ、黙れ！！お、お前なんかが復活するなんて、に、2万年早いぜ！！
ルミナ,レイト君！
マユ,お願いします。もう一人のパパ・・・パパを助けてください・・・
ゼロ,うおおおおおおおおおおおおお！！！
セブン,はぁぁぁぁぁぁああああああ！！！
レオ,でぇぁああああああああああああ！！！
ヒカリ,もう少しだ！！ゼロ！セブン！レオ！耐えてくれ！！。出来た！！出来たぞ！！3人共新しいカプセルだ！
ゼロ,ぜぇ・・・ぜぇ・・・おう・・・ありがとうな・・・親父！師匠！それにヒカリ！
セブン,強くなったな。ゼロ
レオ,さ、今はその疲れた体を休ませるんだ
ゼロ,ああ。お言葉に甘えてそうさせてもら・・・！
マユ,お願いします。もう一人のパパ・・・パパを助けてください・・・
ゼロ,マユ！！
レオ,どうした？ゼロ
ゼロ,休みたいところだが、どうもそういうわけにはいかないみたいだ・・・ちょっくら地球に行く用ができちまった・・・ヒカリ、さっきのカプセル借りるぜ！
ヒカリ,あ、ああ・・・
レオ,おい！ヒカリ！！
セブン,待て！！ゼロ！行くな！
ゼロ,俺の娘がピンチなんだよ！！！デュワッ！！！
レオ,ゼロ！！・・・ヒカリ！どういうつもりだ！！
ヒカリ,すまない・・・彼の気迫に押し負けてしまったみたいだ・・・
レオ,まったく・・・・セブンからも何か言ってあげてください！
セブン,・・・
レオ,セブン？
ヒカリ,セブン・・・そこまで怒っているとは申し訳ない・・・
セブン,レオ・・・ヒカリ・・・どうやら俺に孫ができたみたいだ・・・
レオ＆ヒカリ,
セブン,いや～とうとう俺もおじいちゃんかぁ・・・はっはっは・・・ゼロも水くさいな・・・子供が出きたなら黙ってないで言えばいいのに
レオ＆ヒカリ,アンタが言うなよ・・・
ベリアル,ゼロがいねぇと何もできない人間がほざくな！！死ねぇ！！
マユ,パパ！
ルミナ,レイト君！！
レイト,ッ！！！
SCゼロ,ガルネイトォォバスタァァァァ！！
ルミナ,えっ？・・・
マユ,もう一人のパパァ！！
レイト,ゼロさん！！
ゼロ,久しぶりだな！レイト！マユ！ルミナ！
レイト,まったく・・・遅いですよ！
ゼロ,なっ！！これでも全速力で来たんだぞ！！
レイト,ははっ・・・冗談ですよ
ゼロ,ったくぅ・・・
ベリアル,ちっ・・・面倒な奴が来た・・・一旦退くか
ゼロ,ま、待て！！うっ・・・
レイト,ゼロさん！？
ゼロ,少しだけ・・・飛ばし過ぎたか・・・レイト！すまない。また体借りるぞ！！
レイト,ゼロさん！！！！
リク,ぜぇ・・・ぜぇ・・・勝てなかった・・・ベリアルに・・・また負けてしまった・・・
ライハ,リク・・・
リク,うわあああああああああ！！！。ウルトラカプセルナビ！！。今日のカプセルは、これだ！。ウルトラマンジャスティス！！身長46メートル！体重4万1千トン！必殺技のビクトリューム光線でどんな強敵も倒すウルトラマンで、とにかくもう言葉で表せないくらいめちゃくちゃかっこよくて、更に強化形態のクラッシャーモードはジャスティスの真の正義を貫くときになる姿で、こっちもとっても強くてかっこいいんだ！！それからそれから・・・。え？なんだろ？・・・・あ、次回も観てくれよな！
ペガ,ﾉｼ
リク,復活したベリアルの圧倒的な強さに歯が立たない僕たち・・・でもここで諦めたりなんかしない！だって、だって僕は・・・。次回、諦めない心。超えるぜ、極限！。・・・
吹雪,司令官・・・
ゼロ,おっと・・・悪い取り込み中か？
リク,レイトさん？いや、ゼロ！？
蒼龍,どう？見つかった？
飛龍,ううん。どこにも・・・
阿武隈,これだけ探しても見つからないだなんて・・・
神通,どこに行ってしまわれたのでしょうか
夕立,むぅ～！！提督さんを連れてくだなんて！絶対許さないっぽい！！っぽい・・・
時雨,と、夕立大丈夫かい？みんなちょっと疲れてないかい？ここは一先ず撤退した方がいいかもしれないね。蒼龍
蒼龍,そうね・・・焦る気持ちは分かるけど、ここは退いて休憩しましょう！
5人,了解！
蒼龍,こちら蒼龍。大淀、一旦帰投するね
ゼロ,なるほど・・・そんな事があったのか。で、そっちの少女にリトルスターが宿ってんのか？
ペガ,うん。そうなんだ！でもまだ混乱してるみたい
ライハ,状況が状況だからね・・・仕方ないわよ
吹雪,イヤです・・・。ゴメンなさい。そっちの方が安全なのも、私のワガママだっていうのも分かっています。でも、でもここにいたいんです！！。理由は分かりませんが、ここの方が安心できる・・・気がするんです！
モア,先輩・・・
吹雪,はい・・・
リク,そういえばゼロはなんでまたここに？
ゼロ,そりゃあ、俺の娘の声が聞こえたのと、リク・・・お前にこれを渡すためだ！
リク,これは新しいカプセル！？
ゼロ,ああ。パワーアップした俺の力が宿ってるカプセルだ！ここぞという時になったら使えよ？
リク,わかった。ありがとう
ゼロ,さて、話を戻すぞ・・・復活したベリアル、それも新たな力を手に入れてる・・・どうやって倒すかだ
ペガ,でも、ベリアルやっつけちゃったら、乗っ取られた提督さんも一緒に死んじゃうんじゃ・・・
ゼロ,その心配はない！コスモスとダイナの力を借りたルナミラクルゼロならばあるいは・・・
リク,それは本当！？
ゼロ,ヘヘッ！俺を誰だと思ってる？。そうそうそう。って色々余計だろ！！
ライハ,そんな事どうでもいいわ！話が脱線してない？
ゼロ,そんな事って・・・
リク,・・・
吹雪,？。・・・
ライハ,友達想いでいい娘たちじゃない
吹雪,はい・・・
モア,・・・
リク,吹雪・・・
ペガ,うん。分かったよ！それじゃ
吹雪,司令官・・・
リク,眠れないの？
吹雪,わっ！！？り、リク君！？
リク,あ、ゴメンゴメン。驚かせちゃったね・・・。いきなりあんなことになっちゃって、困惑しちゃうよね
吹雪,はい・・・私に変な力が宿るし、司令官は体を乗っ取られたと思ったら、いなくなっちゃうし・・・もう私何が何だか・・・・
リク,アイツはベリアル・・・僕の父さんなんだ
吹雪,えっ！？
リク,色々複雑な話だから後で説明するけど・・・アイツは僕の父親、だから僕にも責任がある
吹雪,そんな！リク君のせいじゃ・・・
リク,はは。ありがとう。でも、どっちにしろアイツは僕の因縁の相手・・・僕が倒さなきゃいけないんだ！それに・・・
吹雪,？
リク,僕は、誰の笑顔も曇らせたくないんだ・・・。もちろん、吹雪。君のもね・・・
吹雪,リク君・・・
リク,ジーっとしてても、ドーにもならないってね！さ、もう寝ようか！
吹雪,はい。おやすみなさい
リク,おやすみ・・・。ベリアルめ・・・・
ペガ,リク、無理してない？
リク,う～ん・・・ちょっとね・・・ははは。でも、あんな顔してる吹雪の前で、弱音を吐いたりしたくないんだ
ペガ,ふふふ。リクも成長したんだね！
リク,あ、当たり前じゃん！いつまでも昔の僕だと思ったら、大間違いだからね！さ、僕たちも寝るよ
ペガ,は～い。おやすみ～
モア,大丈夫だよ。先輩、こんな顔してるけどいい人だから！。あ、あはは・・・じゃあ行きましょ
リク,二人とも頼んだよ！
モア,了解！
ペガ,行っちゃったね・・・
リク,うん・・・でも、あの二人ならきっと大丈夫だよ
ベリアル,フハハハハ！！！さて、そろそろまた暴れるか！！
モア,べ、ベリアル！？
吹雪,そんな・・・
モア,はい！吹雪ちゃん！しっかり捕まっててね！！
ベリアル,ほう・・・あの車にアイツが乗ってるのか・・・逃がさん！！行け！艦載機共！！
モア,きゃあああああ！！
吹雪,も、モアさん！前！！
モア,え？。・・・・
吹雪,で、でもゼナさんも頭から血が・・・。イヤです！私のせいで誰かが傷つくのはもう見たくないんです！！
リク,なんだって！！
ペガ,大変だ！早く助けに行かないと！！
ライハ,リク、行きましょう！
リク,分かった！
レイト,あれは・・・ベリアル！？
ルミナ,・・・レイト君
マユ,パパァ・・・
レイト,二人とも、危なくなったらすぐに避難するんだ。いいね？
ルミナ,行くのね？
レイト,うん・・・でも心配しないで。ルミナさんとマユがいる限り、僕は絶対に負けない！だから・・・安心して待っててね！
マユ,パパ！
レイト,マユ、いい子にしててね。
マユ,うん！マユ、いい子で待ってる。だからパパも早く帰ってきてね！
レイト,うん！
ゼロ,レイト！久しぶりだが、行けるか？
レイト,はい！もちろんです！
ゼロ,フッ・・・流石は俺の相棒だな。じゃあ行くぞ！！
レイト,シュワッ！！
ゼロ,べリアル！今度は逃がさないぜ！！
べリアル,ふん！またお前か。砲撃の雨にでも撃たれてろ！
ゼロ,喰らうかよ！！ワイドゼロショット！！！。と、おまけのゼロスラッガーも喰らいな！！。へっ！当たり前だろ？さて、準備運動はここまでだ！行くぞ！
ベリアル,その減らず口、いつまでもつかな？
大淀,昨日の黒い巨人が出現しました！昨日の出撃メンバーは出撃してください！
6人,了解！
蒼龍,みんな行くわよ！
飛龍,あれ？昨日のとは別の巨人がいる？
阿武隈,え～っと、昨日の黒い巨人と戦ってるってことは味方ってことでいいのかな？
神通,どうやらそのようですね。蒼龍さん、彼の援護をしてもよろしくて？
蒼龍,ええもちろん！！みんな！あのWトサカの巨人を援護して！
5人,了解！
夕立,さぁ、黒い巨人さん。素敵なパーティーしましょ？
時雨,覚悟はいいかい？
ベリアル,ぐぉ！！小賢しい真似を・・・
リク,モア！吹雪！ゼナさん！
ライハ,大変！車が！！それに吹雪がいない・・・
リク,なんだって！！？。わかった・・・ライハとペガは二人をお願い。僕は吹雪を・・・
ライハ,頼んだわよ！
ペガ,後は任せて！
リク,いた！吹雪！！
吹雪,リク君！どうして？どうしてこんなに無茶するの！？どうして傷だらけなのに、まだ立ち上がろうととするの？。えっ・・・
リク,だからこんなところで、倒れてちゃいけないんだ！！立ち止まっちゃいけないんだ！！諦めちゃダメなんだ！！！
吹雪,諦めちゃダメ・・・
リク,じゃあ、僕は行くよ・・・
吹雪,待って！！
リク,吹雪、心配しなくても大丈夫。僕はウルトラマンだから絶対負けないし、吹雪たちの大切な提督さんも救ってみせるよ。そして必ず――。君の笑顔を取り戻す！ヒア・ウィー・ゴー！
吹雪,リク君・・・
リク,行くぞ・・・ベリアル！！今度こそ決着だ！。融合！。アイゴー！。ヒアウィーゴー！。守るぜ！希望！。ジィィィィィィィド！！
ベリアル,いきなりその姿で現れやがって！！忌々しい！！
ゼロ,へっ！やっときたか！じゃあ、俺も行くぜ！！
ゼロ＆レイト,俺に限界はねぇ！！
ゼロ,行くぜ！リク！
ジード,ああ！
ゼロ,バルキーコーラス！！
ジード,ビッグバスタウェイ！！
蒼龍,私たちも・・・全員一斉砲撃！！
飛龍,見ててね多聞丸！はぁ！！
阿武隈,あたしだってやればできるのよ！！
神通,軽巡神通、参ります！！
夕立,ぽいぽいぽ～い！！
時雨,覚悟はいい？全力で行かせてもらうよ！！
ベリアル,ぐあああああああ！！
ゼロ,やったか！？
ベリアル,・・・・ふん・・・
ジード,そんな！？
ベリアル,舐めるなぁぁぁ！！！！
艦娘たち,きゃああああ！！
ゼロ,ぬあっ！
ジード,うわっ！
時雨,そんな・・・中破してるのにこの威力・・・
飛龍,全員中大破！？嘘でしょ・・・
蒼龍,みんな、一旦退避して！
ベリアル,そうはさせるか！沈め！！
ジード,危ない！！メガエレクトリックホーン！
ベリアル,ぬぅっ・・・まだ動けるのか・・・しつこい奴だなぁ息子
ジード,当たり前だ・・・僕が・・・こんなところで倒れてちゃダメなんだ！！
大淀,皆さん、巨人が気を引いている今のうちにたいひ・・・
吹雪,大淀さんごめんなさい、勝手に出撃します！
大淀,え？吹雪・・・ちゃん？
吹雪,リク君・・・みんな、待ってて！！
ベリアル,ふん・・・所詮はその程度か。やはり口だけか。息子よ
ジード,僕のことを・・・息子って呼ぶな！！！
ベリアル,さあ・・・終わりだ！！
ゼロ,ジード！！！
ベリアル,！！・・・なんだ・・・？
吹雪,リク君！！！
リク,吹雪！？どうしてここに・・・
吹雪,私も一緒に戦って司令官を救ってみせます！だって・・・だって見てるだけじゃ始まりませんから！
リク,これは・・・
ベリアル,小娘が・・・
ゼロ,リク！今だ！！
リク,ジーッとしてても、ドーにもならねぇ！！。融合！。アイゴー！。ヒアウィーゴー！。超えるぜ、極限！。ジィィィィィィィド！！
ジード,・・・・・・・
ベリアル,な、なんだ！？その姿は！？
ジード,ジュワッ！。これで終わりだ！！！ベリアル！！シェアッ！！！
ベリアル,な、なんだこの力は・・・！？
吹雪,私もいます！！発射！！
ジード,はぁぁぁぁぁ・・・・。ソードレイ・オーバードライヴ！！！！！！！
ベリアル,ぐわああああああああああ！！！へっ！いいのか？俺様をやれば、乗っ取ったこいつも一緒に死ぬぞ？
ゼロ,それはどうかな？“ルナミラクルゼロ”！！デェェェヤ！
ベリアル,何！？
LMゼロ,この技を使えば、この男は死なずに済む。怪獣墓場でかつて救ったピグモンのようにな！！
ベリアル,おのれぇぇぇぇぇ！ゼロ！！！ジードおおおおおお！！！！
ジード,・・・・・・今度こそさようなら･･････父さん・・・
レイト,もう行っちゃうんですね・・・
ゼロ,ああ。全宇宙の平和を守るのが俺の仕事だからな・・・名残惜しいけどまた会おうぜ！
ルミナ,お気をつけて！
マユ,あ、もう１人のパパ！これ見て！
ゼロ,ん？この絵は・・・ひょっとして俺か！！
レイト,ゼロさんに見せたいって言ってたんですよ！
ゼロ,ははっ！かっこよく描けてるじゃないか!ありがとうな！マユ！これでまた頑張れるぜ！流石、俺の娘だ！
レイト,だから！マユは僕の娘ですって！
ゼロ,ふっ・・・じゃあな！シュワッ！！
店長,さあ、今日も始めるぞ！！今度こそベリアル撃破セール！！！！
ライハ,また何か始めてるし・・・
リク,ははは。でもいいんじゃない？みんながああやって笑顔で暮らしてるんだからさ
深雪,おお！！！今日もセールやってるじゃん！！
