※,ガヴリールドロップアウト
ガヴリール,あぁ。返してやったよ…だったら私を養え！養うなら一緒に暮らす
ラフィエル,まぁ、それで相手方は？
ガヴリール,もちろん良いって了承したよ！その瞬間、人生バラ色だなって思えたなぁ…
ヴィーネ,ガヴ、アンタって人は…。
サターニャ,恋心を利用するガヴリールもガヴリールだけど、それに有無を言わないで了承する人間の男もバカね…
ラフィエル,ぷっ…やっぱりガヴちゃんも…ぷぷっ、面白いです♩///
サターニャ,それで笑えるアンタも、まさにバカだよ…。で、そういうアンタは何してるさ？
ヴィーネ,えっ、私？
ガヴリール,お前以外に誰がいるんだよ？
ラフィエル,散々私達にも聞いてましたし、最後はやはりヴィーネさんが気になりますよ？
ヴィーネ,そうね。私は今、ある会社の経理かな？
サターニャ,経理？
ヴィーネ,金銭出納・財産に関する事務処理や管理
ラフィエル,ある会社というのは？
ヴィーネ,あまり大きな声では言えないけど、○×商事って会社。
サターニャ,えっ、○×商事って！？
ラフィエル,一流企業じゃないですか！！？？
ガヴリール,んっ、そこってそんなに有名なのか？
サターニャ,アンタ、知らないの？！○×商事と言ったら、人間共の憧れとも言われる場所よ！！
ラフィエル,あまりにも難関過ぎて、毎年採用する人数はたった20名、酷い時は10名近くのみだとか…
ガヴリール,へぇー、そっかそっか！
ヴィーネ,堕落して働く事にあまり縁のないガヴにとってはどうでもいい話のようね…
ラフィエル,凄いですぅ♩流石はヴィーネさん♡
サターニャ,ふ、ふん。そういえば、アンタって学生の頃は真面目で、優等生みたいだったからそういうのは反映されたのね…。まぁ、私には敵わないでしょうけど。
ヴィーネ,やめてよ、二人とも。そんなに凄くないって！？///。そりゃあ、まぁ、入社の時は難しかったけど、ほぼギリギリだったみたいだし。それにラフィの方が立派よ、警察だから！まぁ、サターニャはアルバイトじゃなくて早く正社員にでもなった方がいいと思うし、ガヴもちょっと真面目になってほしいって所はあるけど…
サターニャ,う、うるさいわよっ///
ガヴリール,ほっとけ！
ラフィエル,まぁまぁ…うふふっ♩
サターニャ,だけどさぁ、良く考えたらなんで私らって人間の世界で就職したんだっけ？
ヴィーネ,なによ、今更！成人しても引き続き地上の事を学びたいって言って、ここに残ってるんじゃないの！
ラフィエル,そういえば、私たちもそうでしたよね、ガヴちゃん？
ガヴリール,まぁ、私はぶっちゃけ、姉さんがうるさいから、その姉から少しでも距離置きたくて下界に残ってるんだけどな…
ヴィーネ,ガヴリールは変わらず理由とか考えが少しズレてるわね…。まぁ…でも、ここで学ぶことはまだまだあるし、私達はこれからもこの地上で好きな事だけして生きて、しっかりと頑張りましょうか♩
ラフィエル,そうですねぇ♩サターニャさんもいるし、まだいたぶり甲斐があるおもちゃ人間
サターニャ,ちょっと、なんでそこで私の名を挙げるのよっ！？
ラフィエル,なんとなくです♡
ガヴリール,まっ、ここはネトゲもあるから、私は別に悪い場所とは思っちゃいないしね！
ヴィーネ,よし、そろそろお会計してここを出ましょうか？
サターニャ,そうねぇ…もう、色々飲んだしね
ガヴリール,よっしゃあ、ようやく解放されｒラフィエル次、二次会に行きましょう♩。なにっ！？
ヴィーネ,おっ、いいわね！二次会はどこかのバーにしようか。
サターニャ,ふふふっ、それだったらこの大悪魔が通う漆黒の場所へと誘おうではないか♩♩
ヴィーネ,まったく、普通に行きつけのバーって言えないの？
ラフィエル,でも、それもサターニャさんらしいじゃありませんか。
ガヴリール,マズいマズい。二次会なんてもんに行ってたら、イベントに参加出来なくなる……。よぉし、このまま気付かれず………
ヴィーネ,あっ、もちろんガヴも行くわよね？
ガヴリール,うっ！？しまったぁぁっ！！？？。い、いや、私はっ！？
ラフィエル,あれぇ～、ガヴちゃん行かないんですか？
ガヴリール,そ、そのあれだ！用事があって…
サターニャ,はぁ、アンタに限って用事なんてないでしょ！？
ガヴリール,違う！断じてネトゲでは……！？
ヴィーネ,図星ね？
ガヴリール,うぅ…
ラフィエル,じゃあ、はい♩
ガヴリール,お、おいラフィエル！？離せっ！！？？
ラフィエル,嫌です♩♩
ヴィーネ,でかしたわラフィ、そのままガヴを離さないでよね？
ラフィエル,はい♡
ガヴリール,や、止めてくれぇーっ！？
ヴィーネ,逃がさないわよ、ガヴ。アンタもこのまま二次会、付き合ってもらうわよ？
ガヴリール,か、勘弁してくれっ！？ね、ネトゲの重要なイベントがぁぁーー！？
サターニャ,フッフッフ、問答無用。このままガヴリールを連れて行くわよ！
ラフィエル,は～い♡ガヴちゃん強制連行～～♩♩
ガヴリール,いやだあああぁぁぁぁっっっーーーーーーー！！！？？？
まち子,委員長。それにしても仕事、仕事…ほんと大人になると忙しくなるわ。これだと学生時代に委員長をやっていた時の方が大分マシに思えるわ…。んっ、そういえば、学生時代といえば…真っ先に天真さん達を思い出すなぁ…。今、なにをしているのだろうか？
？,いやだあああぁぁぁぁっっっーーーーーーー！！！？？？
まち子,っ！！？？。……。今、確か…天真さんの声が聞こえたような気がしたけど、気のせいかな？。うん、きっとそうよ！よし、気分を入れ替えて今日は一杯ひっかけて帰ろう！！
ヴィーネ,ガヴー、あまり叫ばないの！！周囲に迷惑でしょ？
サターニャ,まったく恥ずかしいったらありゃしない
ラフィエル,はいは～い、もう少しで二次会の場に着きますからね～♩
ガヴリール,だーかーらー、もう……いやだああああぁぁぁぁっっっっーーーーーーーーーーーー！！！？？？
