モバP,以下P
りあむ,？
P,ああいや、気にしなくていいぞ…それじゃあそろそろ蘭子のトコ行くか
りあむ,えっ！？いやいやぼくちょっと疲れたから明日とか…
P,ほら行くぞ～
りあむ,ちょっ…引っ張らな…立つ！ちゃんと立つから待ってよ～！。あ"あ"あ"あ"あ"…お腹イタイよぉ…しんどいよぉ…やむぅ…めっちゃやむぅ…
P,大人しくしてろ、そろそろ来るぞ
蘭子,ぁ…あの…
P,お、蘭子
りあむ,うわああああん！蘭子ちゃんごべんなざい"い"ぃ"ぃ"ぃ"ぃ"！
蘭子,ぴいっ！？
りあむ,ぼくみたいなのに優しく声をかけてくれたのに本当ごめんなざい"い"い"ぃ"ぃ"ぃ"！
蘭子,そ…そんな、頭を上げてください…お、表を上げよ！
飛鳥,蘭子…言葉が逆になってるよ
蘭子,あ、飛鳥ちゃん…！
りあむ,ぅゎ…生で見るとホント顔良い…
P,りあむ
りあむ,…じゃなくって！この通り、さっき読めなかった漢字も書き取り練習してきたよ！読めなかったら今度からちゃんとググるから許して～！
蘭子,新たなる同胞よ、我の方こそ…申し訳なく思っているわ
りあむ,…え？
蘭子,瞳を持つ者に囲まれる故、我が目も曇っていた…
りあむ,えっえっ？
蘭子,初めて祭壇に登った日、我が世界を誰も知らなかったあの日を思い出したわ…
りあむ,えっえっえっ！？
P,りあむ
りあむ,もうPサマ！ぼくの名前は黙れって意味じゃないよ！
P,分かってるなら大人しく蘭子の言葉を聞いてあげな
蘭子,…新たなる同胞よ、改めて我と友諠を結んではくれないか？
りあむ,え～っと…？
飛鳥,つまり、もう気にしてないから改めてよろしくねだそうだ
りあむ,蘭子ちゃん…うわ～ん！ありがとおおおお！
蘭子,ひゃあっ！
りあむ,ぼくの方こそよろしくだよおおお！仲良くしてええええ！！！
飛鳥,…とりあえず、一件落着かな？
P,そうだな…悪い、迷惑かけた
飛鳥,本当だよ…全く
P,とりあえずこれを持ってきた、落ち着いたら皆で食べてくれ
飛鳥,ありがとう、貰っておくよ
P,それじゃあ俺はそろそろお暇するよ、あんまり女子寮に長居するのもなんだしな
飛鳥,わかった、それじゃあまた…
P,それじゃありあむ、そろそろ俺は帰るから
りあむ,あっ…うん、今日はありがとね…Pサマ
蘭子,我が友よ、そなたに限りない感謝を！
飛鳥,お疲れ様…この後はどうするんだい？
P,あぁ…これを見てくれ
飛鳥,あぁ……
P,菜々さんとりあむには検閲入れるべきかなぁ…
飛鳥,それはボクの口からはなんとも…
P,はぁ…やむ！めっちゃやむ！
りあむ,Pサマそれぼくのセリフだよ！！！
